# commit: cff5bb5 (dirty)
# N: 5000000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T02:35:08Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,4.999501111111112e-1,1.9460,4.999825000000001e-1,1.9486,4.998077222222222e-1,1.9574,4.998071111111111e-1,1.9569,4.997996111111112e-1,1.9563,4.997983888888888e-1,1.9547,2.979662232398927e-2,4.3118119524676035e-2,2.3176646972744674e-7,1.4606591380081796e-6,4.998016111111112e-1,1.9568,4.55,6.54,7.78,4.49,0.001757,0.002553,0.000644,0.000376,0.000360,0.000489,0.000350,1.0386588716581136e-3,1.0926304200388147e-3
2,2.546978333333333e-1,2.4253,2.544847222222222e-1,2.4288,2.536205555555556e-1,2.4376,2.536649444444444e-1,2.4364,2.537091111111111e-1,2.4363,2.538531111111111e-1,2.4324,5.148306594841447e-2,6.99015063947514e-3,4.004532864025514e-7,2.3679554127978533e-7,2.536712222222222e-1,2.4372,4.55,6.54,7.78,4.49,0.002869,0.003764,0.001110,0.000576,0.000557,0.000647,0.000822,1.257933525675821e-3,2.6371050890879185e-4
3,1.319327777777778e-1,3.7455,1.316849444444445e-1,3.7528,1.310062777777778e-1,3.7640,1.310924444444445e-1,3.7611,1.310992777777778e-1,3.7614,1.313758888888889e-1,3.7509,7.796113332088335e-2,5.823897739858025e-3,6.064138935923314e-7,1.9736713216423757e-7,1.310285000000000e-1,3.7637,4.55,6.54,7.78,4.49,0.006060,0.004945,0.001053,0.001661,0.002379,0.002658,0.001113,1.652137184469571e-3,4.6791042965402117e-4
4,6.954683333333334e-2,4.9377,6.931166666666667e-2,4.9496,6.880877777777777e-2,4.9825,6.889000000000001e-2,4.9771,6.889444444444444e-2,4.9779,6.918566666666666e-2,4.9576,1.0316975328532885e-1,5.261316977050741e-3,8.024904135930689e-7,1.7818292563098229e-7,6.883033333333333e-2,4.9789,4.55,6.54,7.78,4.49,0.010652,0.013228,0.004238,0.005802,0.004700,0.004464,0.004300,2.3789724236018927e-3,3.060737281719651e-4
5,3.737994444444444e-2,6.0264,3.719677777777778e-2,6.0448,3.669566666666666e-2,6.1098,3.676994444444445e-2,6.1054,3.676461111111111e-2,6.0986,3.703400000000000e-2,6.0763,1.1872547567608968e-1,4.590427682889094e-3,9.234677689253904e-7,1.5553462138733527e-7,3.673500000000000e-2,6.1013,4.55,6.54,7.78,4.49,0.015781,0.012297,0.005886,0.008451,0.006397,0.007283,0.006564,1.746698176097917e-3,3.7890052792625593e-4
6,2.049666666666667e-2,7.0054,2.035122222222222e-2,7.0236,1.993916666666667e-2,7.1462,1.998038888888889e-2,7.1415,2.000922222222222e-2,7.1186,2.018500000000000e-2,7.0960,1.2251728855895899e-1,4.101958334216352e-3,9.52948279590745e-7,1.389336771552103e-7,1.997977777777778e-2,7.1263,4.55,6.54,7.78,4.49,0.024526,0.028242,0.010458,0.010503,0.012923,0.018561,0.024221,1.712576316661506e-3,3.139226766198301e-4
7,1.150255555555556e-2,7.8354,1.141122222222222e-2,7.8550,1.102766666666666e-2,7.9968,1.105883333333333e-2,7.9665,1.109983333333333e-2,7.9392,1.122366666666667e-2,7.9166,1.1885041631017512e-1,3.5698199755048545e-3,9.244459153155987e-7,1.20951577835729e-7,1.107650000000000e-2,7.9414,4.55,6.54,7.78,4.49,0.058278,0.045391,0.006392,0.025919,0.043978,0.031496,0.029198,1.7501946009947644e-3,2.5576586645579484e-4
8,6.640666666666666e-3,8.4809,6.574944444444445e-3,8.4935,6.311777777777777e-3,8.5791,6.352444444444444e-3,8.5319,6.386666666666665e-3,8.5330,6.463722222222223e-3,8.5225,1.0955105140399991e-1,3.1864353064126032e-3,8.521391516557066e-7,1.078858272261159e-7,6.375277777777778e-3,8.5199,4.55,6.54,7.78,4.49,0.083783,0.082134,0.029850,0.075550,0.030230,0.036593,0.062443,3.155979729239338e-3,2.885518784622158e-4
9,3.962555555555555e-3,8.9058,3.924833333333333e-3,8.8780,3.752333333333334e-3,8.9634,3.785333333333333e-3,8.9343,3.798833333333334e-3,8.9377,3.846277777777777e-3,8.9573,1.0018326303274167e-1,2.7504465096815957e-3,7.792603090078845e-7,9.311971081670523e-8,3.797111111111111e-3,8.9650,4.55,6.54,7.78,4.49,0.122337,0.104492,0.039640,0.086553,0.092937,0.053271,0.074199,2.4259118209183196e-3,2.3475021995034132e-4
10,2.458555555555556e-3,9.0257,2.441777777777778e-3,8.9536,2.321833333333333e-3,9.2077,2.344388888888888e-3,9.1167,2.356111111111111e-3,9.1281,2.379333333333333e-3,9.1356,9.050403083419886e-2,2.3946267758937732e-3,7.039683987872628e-7,8.105966274339517e-8,2.344777777777778e-3,9.2235,4.55,6.54,7.78,4.49,0.139299,0.117480,0.093583,0.098120,0.084201,0.090552,0.109907,3.0788324116551562e-3,2.5118344557592293e-4
11,1.602055555555556e-3,8.7430,1.598333333333334e-3,8.6613,1.489611111111111e-3,9.1041,1.516500000000000e-3,9.1627,1.520166666666667e-3,9.1451,1.538000000000000e-3,8.9121,8.146706032470022e-2,1.9466683491957812e-3,6.336726018556029e-7,6.591299149876097e-8,1.505000000000000e-3,9.1412,4.55,6.54,7.78,4.49,0.242167,0.241295,0.165191,0.177739,0.171099,0.122666,0.171100,2.0465408277775808e-3,2.55034197426328e-4
12,1.108000000000000e-3,8.3297,1.108666666666667e-3,8.2993,1.012500000000000e-3,8.3958,1.016888888888889e-3,8.6505,1.023611111111111e-3,8.5724,1.055888888888889e-3,8.3514,7.377701698912627e-2,1.8134804705307122e-3,5.738303128612713e-7,6.14798748729829e-8,1.019055555555556e-3,8.7158,4.55,6.54,7.78,4.49,0.251234,0.257342,0.168667,0.143282,0.241625,0.223789,0.297002,2.132703629686729e-3,1.6927062948524495e-4
13,7.989444444444445e-4,7.7213,7.991111111111111e-4,7.9480,7.387777777777779e-4,7.8367,7.362777777777778e-4,7.6964,7.428888888888889e-4,7.8037,7.656111111111112e-4,7.8992,6.606305450326753e-2,1.4855946631970737e-3,5.138403791883447e-7,5.0308392400654573e-8,7.267222222222222e-4,8.0513,4.55,6.54,7.78,4.49,0.256230,0.343629,0.264933,0.354213,0.402431,0.282991,0.211319,2.0553755397780486e-3,1.5747423140956325e-4
14,6.110555555555557e-4,6.9665,6.008333333333333e-4,7.1093,5.534444444444445e-4,7.5028,5.618888888888888e-4,7.2378,5.609444444444444e-4,7.1833,5.743888888888888e-4,7.2473,5.835597041436374e-2,1.2765456648780866e-3,4.5388577543152286e-7,4.317298943738587e-8,5.478888888888889e-4,7.2244,4.55,6.54,7.78,4.49,0.255499,0.252545,0.421414,0.266642,0.252435,0.515925,0.380412,1.7570387175287383e-3,2.0056167006675084e-4
15,4.853333333333334e-4,6.3339,4.805000000000000e-4,6.4303,4.318888888888889e-4,6.6648,4.386666666666667e-4,6.5438,4.443333333333333e-4,6.5324,4.558333333333334e-4,6.1114,5.060524922826097e-2,1.2023521238381013e-3,3.9359998565258116e-7,4.072804441324045e-8,4.333888888888889e-4,6.6457,4.55,6.54,7.78,4.49,0.555359,0.687480,0.549400,0.689412,0.620947,0.506828,0.552876,9.623890962335264e-4,1.2032609851242197e-4
16,4.003333333333334e-4,5.7391,3.911111111111111e-4,6.1011,3.546666666666668e-4,5.9981,3.630000000000000e-4,5.7434,3.626666666666667e-4,6.4730,3.819444444444445e-4,5.5678,4.589596863173151e-2,7.865544248881869e-4,3.569659667772978e-7,2.66128966557036e-8,3.515555555555556e-4,6.0416,4.55,6.54,7.78,4.49,0.618176,0.772680,0.669464,0.667732,0.872044,0.703660,0.756417,1.097608728469498e-3,1.4799263100822717e-4
17,3.388888888888889e-4,5.2005,3.280000000000001e-4,5.2786,2.967222222222222e-4,5.6317,3.062222222222222e-4,5.5546,2.963333333333333e-4,6.1407,3.217222222222222e-4,5.3803,3.981971971745602e-2,7.314091022454554e-4,3.0969512733454554e-7,2.4740979703978198e-8,2.969444444444444e-4,5.2356,4.55,6.54,7.78,4.49,0.632026,0.605815,0.833212,0.522981,1.069974,0.596994,0.841325,1.6023215529698076e-3,1.9851639229619128e-4
18,2.947222222222222e-4,4.8419,2.866111111111111e-4,4.5818,2.545555555555556e-4,5.4386,2.617222222222222e-4,5.0516,2.526111111111111e-4,4.8147,2.782222222222222e-4,5.2611,3.454281539710292e-2,5.713760596283514e-4,2.686613034145859e-7,1.934851681173899e-8,2.582777777777778e-4,4.5027,4.55,6.54,7.78,4.49,0.820737,0.539801,0.900222,0.555596,0.961545,0.609314,0.801382,1.2246652677522926e-3,1.3909655802535922e-4
19,2.588888888888889e-4,4.5879,2.542222222222223e-4,4.4355,2.192777777777778e-4,5.1405,2.312222222222222e-4,4.5753,2.267222222222222e-4,4.3017,2.401111111111111e-4,5.0065,2.978382232458918e-2,4.401044336857813e-4,2.3165799606528166e-7,1.4901249804909015e-8,2.311666666666667e-4,4.6027,4.55,6.54,7.78,4.49,0.764802,0.712384,1.252702,0.789680,0.943351,0.653637,0.782880,1.2512025907430657e-3,7.436850745194908e-5
20,2.314444444444445e-4,4.2194,2.268888888888889e-4,3.6609,1.941666666666667e-4,4.4313,2.056666666666667e-4,4.4448,2.013888888888889e-4,4.2327,2.137222222222222e-4,4.1415,2.498141806888192e-2,3.591565976019284e-4,1.943026463497641e-7,1.214221318062286e-8,2.026666666666667e-4,4.8581,4.55,6.54,7.78,4.49,1.106039,0.988412,0.956977,0.660839,1.472113,1.179782,0.983865,1.5051100097226242e-3,1.1686801792444334e-4
21,2.096111111111111e-4,4.0915,2.116666666666667e-4,3.2621,1.756666666666667e-4,3.6930,1.851111111111111e-4,4.5877,1.834444444444444e-4,4.3807,1.951666666666667e-4,3.8182,2.0957467487100038e-2,2.6194404067588303e-4,1.6300338211620398e-7,8.85474517153073e-9,1.812777777777778e-4,4.5849,4.55,6.54,7.78,4.49,1.037636,0.749022,1.823865,1.456601,1.114131,0.674532,1.135554,1.0238829836022281e-3,6.682817581090067e-5
22,1.904444444444444e-4,3.3143,1.942222222222222e-4,3.4612,1.628333333333333e-4,3.8007,1.652777777777778e-4,4.8531,1.634444444444444e-4,4.0296,1.781666666666667e-4,3.6397,1.7504367798309182e-2,2.0355598500845337e-4,1.3614659807042015e-7,6.9069150316865145e-9,1.628888888888889e-4,4.1720,4.55,6.54,7.78,4.49,1.331562,0.936677,1.130135,1.987029,1.055232,1.686819,1.355325,1.6150521560450166e-3,5.99744493946962e-5
23,1.802777777777778e-4,3.0195,1.808333333333333e-4,3.4481,1.477777777777778e-4,4.5082,1.484444444444445e-4,3.7424,1.527222222222222e-4,3.3410,1.653888888888889e-4,4.1607,1.4666366100410302e-2,1.3130424573206908e-4,1.1408000766598373e-7,4.449765256394024e-9,1.499444444444444e-4,3.6821,4.55,6.54,7.78,4.49,1.069386,0.894866,1.835107,2.584213,1.752264,1.224851,1.727430,1.1059987205106461e-3,6.177629062334567e-5
24,1.670000000000000e-4,3.6581,1.671666666666666e-4,3.9394,1.338333333333334e-4,4.5542,1.404444444444444e-4,3.1210,1.413333333333333e-4,4.3505,1.486666666666667e-4,4.4393,1.2309823990376778e-2,9.709679031776003e-5,9.574046946185648e-8,3.2796918286647485e-9,1.387777777777778e-4,4.9470,4.55,6.54,7.78,4.49,1.146044,1.436413,1.511802,2.856822,1.058072,1.601633,0.599018,7.285153651279116e-4,3.862373359278694e-5
25,1.547777777777778e-4,3.2630,1.534444444444444e-4,3.6505,1.222222222222222e-4,4.4376,1.303333333333333e-4,3.8155,1.273888888888889e-4,5.0316,1.374444444444445e-4,3.2460,9.992483058045384e-3,7.594318093730472e-5,7.771371351935985e-8,2.563542100364406e-9,1.220000000000000e-4,5.0608,4.55,6.54,7.78,4.49,0.526112,0.834361,1.533549,2.465173,0.704702,2.047228,1.929499,1.010937225977936e-3,4.322169821375219e-5
26,1.465555555555556e-4,3.0445,1.444444444444444e-4,2.5173,1.120555555555555e-4,3.1748,1.205555555555556e-4,3.6575,1.155555555555555e-4,3.4620,1.305555555555555e-4,3.2877,7.349732693169518e-3,6.780977592418723e-5,5.716628783054753e-8,2.299426806365378e-9,1.133333333333333e-4,3.6942,4.55,6.54,7.78,4.49,1.226759,1.563801,1.333387,1.696037,0.989563,1.224705,2.609905,7.63535165347331e-4,1.7353309635709475e-5
27,1.376666666666667e-4,3.1889,1.392777777777778e-4,2.4883,1.081666666666667e-4,3.3582,1.132222222222222e-4,4.5695,1.115000000000000e-4,2.5709,1.211111111111111e-4,4.1640,5.969902846939846e-3,2.553512737403593e-5,4.6431334162273415e-8,8.694504853666241e-10,1.058333333333333e-4,4.3238,4.55,6.54,7.78,4.49,1.427108,1.101214,1.991973,2.209999,1.129012,1.990764,1.238470,4.974827103812851e-4,2.2463817743448163e-5
28,1.302222222222222e-4,2.1228,1.317222222222222e-4,3.8219,9.894444444444443e-5,3.9289,1.017777777777778e-4,5.1743,1.050555555555556e-4,4.7288,1.118888888888889e-4,4.5486,4.535349002552075e-3,2.0918877734118323e-5,3.52726287709907e-8,7.001941644325204e-10,9.655555555555557e-5,4.3978,4.55,6.54,7.78,4.49,2.268139,1.025682,1.765558,2.140868,0.819027,1.632787,2.184437,3.750809860463053e-4,3.3124960183411096e-5
29,1.276111111111111e-4,3.1865,1.215000000000000e-4,3.6985,9.399999999999999e-5,2.8004,9.411111111111112e-5,4.4370,9.416666666666666e-5,4.7536,1.029444444444444e-4,3.9574,3.4092068627990186e-3,2.5084850072062003e-5,2.6517556354418028e-8,8.390367685966155e-10,9.044444444444445e-5,3.5251,4.55,6.54,7.78,4.49,1.816104,1.234601,1.506939,3.005858,2.313879,2.225205,3.048843,4.0492125816607005e-4,3.636125055828001e-5
30,1.166666666666667e-4,3.3378,1.159444444444444e-4,2.4873,8.983333333333333e-5,3.9361,8.733333333333335e-5,2.7575,8.916666666666667e-5,2.9905,9.761111111111111e-5,2.7553,2.2429108455265727e-3,4.2428973897695254e-6,1.744249935850209e-8,1.4401742608090443e-10,8.549999999999999e-5,3.2696,4.55,6.54,7.78,4.49,1.777564,1.805762,2.715576,1.473326,1.518310,1.958122,1.349818,2.2968680669700487e-4,1.122565133169525e-5
32,1.082777777777778e-4,2.2954,1.075000000000000e-4,2.7594,7.744444444444445e-5,4.8459,8.216666666666665e-5,3.1716,8.127777777777779e-5,3.5408,8.988888888888889e-5,3.7095,8.965986851890632e-4,4.23685726875233e-6,6.971566501770352e-9,1.4360767612623563e-10,7.700000000000000e-5,3.3107,4.55,6.54,7.78,4.49,0.450783,1.240445,1.891613,1.380663,1.796672,1.983346,1.997678,2.671093317186689e-4,1.1209670673595018e-5
34,1.010555555555556e-4,3.3611,9.755555555555555e-5,2.7158,6.633333333333332e-5,4.2552,7.161111111111110e-5,4.1253,7.144444444444444e-5,4.2807,7.738888888888888e-5,3.7288,2.446855218268898e-4,0e0,1.9044856052836428e-9,0e0,6.950000000000001e-5,3.2139,4.55,6.54,7.78,4.49,1.291598,1.306452,1.728561,1.282888,1.486857,1.525594,1.075326,1.1565420233399487e-4,0e0
36,8.883333333333333e-5,2.9474,9.161111111111112e-5,2.8934,6.027777777777778e-5,3.5883,6.444444444444444e-5,3.0814,6.316666666666667e-5,4.5230,7.216666666666667e-5,2.8927,9.271791245524108e-5,0e0,7.217925573477553e-10,0e0,6.372222222222222e-5,3.8657,4.55,6.54,7.78,4.49,1.235177,0.892652,1.737420,1.506853,1.903702,1.082924,1.013606,4.3090515675549966e-5,0e0
38,8.577777777777777e-5,1.8830,8.305555555555556e-5,2.4937,5.433333333333333e-5,3.7394,6.033333333333334e-5,3.8511,5.555555555555556e-5,3.3710,6.588888888888888e-5,4.2212,4.170002668801708e-6,0e0,3.23705193159633e-11,0e0,5.605555555555555e-5,4.6245,4.55,6.54,7.78,4.49,1.436796,1.694727,2.161480,3.096810,1.329619,0.872211,2.128862,1.103279002812496e-5,0e0
40,8.044444444444444e-5,2.3165,8.033333333333334e-5,1.8033,4.950000000000000e-5,3.5700,5.261111111111112e-5,3.0559,5.288888888888889e-5,1.3217,5.777777777777777e-5,5.4257,0e0,0e0,0e0,0e0,4.994444444444444e-5,3.6394,4.55,6.54,7.78,4.49,1.335836,1.462964,2.407116,2.620578,2.296049,2.417842,2.349049,0e0,0e0
42,7.638888888888889e-5,1.9739,7.588888888888889e-5,2.2658,4.544444444444445e-5,3.8683,5.177777777777777e-5,2.4910,5.200000000000000e-5,2.9030,5.022222222222222e-5,2.6871,0e0,0e0,0e0,0e0,4.672222222222222e-5,4.3123,4.55,6.54,7.78,4.49,0.723070,1.692674,4.165550,2.724001,3.518408,1.864295,1.964141,0e0,0e0
44,7.322222222222223e-5,2.2720,7.211111111111112e-5,2.5754,4.116666666666667e-5,3.6141,4.672222222222222e-5,6.1056,4.605555555555556e-5,3.9520,5.083333333333333e-5,2.4410,0e0,0e0,0e0,0e0,4.066666666666667e-5,4.3190,4.55,6.54,7.78,4.49,1.001606,1.992106,4.356122,4.939150,1.891008,2.097727,2.835271,0e0,0e0
46,6.888888888888889e-5,1.5137,6.750000000000000e-5,0.8845,3.855555555555555e-5,5.0053,3.922222222222222e-5,4.6156,4.344444444444444e-5,4.0856,4.494444444444445e-5,5.0351,0e0,0e0,0e0,0e0,3.838888888888889e-5,3.0155,4.55,6.54,7.78,4.49,1.837000,1.225518,2.057082,2.802148,2.807865,3.673456,2.839453,0e0,0e0
48,6.855555555555556e-5,1.3528,6.938888888888888e-5,1.4233,3.311111111111111e-5,4.6373,3.822222222222223e-5,1.6161,3.855555555555555e-5,4.4715,4.083333333333333e-5,4.1313,0e0,0e0,0e0,0e0,3.566666666666667e-5,4.1177,4.55,6.54,7.78,4.49,1.100727,2.309366,3.473700,6.409987,2.126601,3.211263,2.676821,0e0,0e0
50,6.511111111111112e-5,3.0775,6.361111111111111e-5,2.8581,3.177777777777778e-5,-0.9461,3.666666666666667e-5,4.6575,3.605555555555555e-5,2.7368,3.783333333333334e-5,0.3768,0e0,0e0,0e0,0e0,3.233333333333333e-5,4.2769,4.55,6.54,7.78,4.49,1.262343,1.938755,3.473354,3.125090,2.577788,2.832082,1.348287,0e0,0e0
52,6.061111111111110e-5,2.1004,6.188888888888889e-5,1.8822,3.438888888888889e-5,1.8352,3.172222222222222e-5,3.0019,3.455555555555556e-5,3.0558,4.022222222222223e-5,1.8175,0e0,0e0,0e0,0e0,3.005555555555556e-5,3.7394,4.55,6.54,7.78,4.49,1.187121,2.075724,4.049669,3.880194,4.280359,4.168442,3.845974,0e0,0e0
54,6.005555555555556e-5,1.6052,5.916666666666668e-5,1.7514,2.961111111111111e-5,4.4451,3.266666666666667e-5,0.3329,3.205555555555555e-5,5.1996,3.527777777777778e-5,4.7569,0e0,0e0,0e0,0e0,2.800000000000000e-5,1.8050,4.55,6.54,7.78,4.49,1.944973,3.169643,3.147291,2.467762,3.671076,3.679874,4.037986,0e0,0e0
56,5.711111111111111e-5,2.1799,5.800000000000000e-5,2.4138,2.916666666666667e-5,2.4687,3.133333333333333e-5,4.5374,2.850000000000000e-5,3.8414,3.372222222222222e-5,4.1752,0e0,0e0,0e0,0e0,2.811111111111111e-5,1.3655,4.55,6.54,7.78,4.49,2.150747,1.601763,4.644510,2.201799,3.220407,3.500400,3.310856,0e0,0e0
58,5.555555555555556e-5,1.6835,5.427777777777778e-5,2.8575,2.711111111111111e-5,3.6430,2.777777777777778e-5,6.6103,2.794444444444445e-5,1.5077,3.038888888888889e-5,5.5636,0e0,0e0,0e0,0e0,2.666666666666666e-5,3.4645,4.55,6.54,7.78,4.49,2.678299,3.520236,4.478942,4.627468,5.411320,3.852951,3.755344,0e0,0e0
60,5.388888888888889e-5,1.3181,5.255555555555556e-5,2.3289,2.572222222222222e-5,6.1136,2.494444444444445e-5,4.0388,2.705555555555556e-5,5.1238,2.783333333333333e-5,2.5148,0e0,0e0,0e0,0e0,2.494444444444444e-5,3.0211,4.55,6.54,7.78,4.49,2.460381,2.893992,4.274873,3.832844,4.877393,6.317526,5.863570,0e0,0e0
