# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T19:28:43Z
# N: 10000000  M: 2 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,771589
max_intermediates,30
count_gen1,63665
count_gen2,2552399
count_gen3,390163
count_antigen1,238626
count_sterile,401633
avg_mass_gen1,4.5604
avg_mass_gen2,6.5361
avg_mass_gen3,7.7310
avg_mass_sterile,6.1974
visible_mass_total,1829691
dark_mass_total,3116839
grav_mass_total,4946530
omega_ratio,1.703478
phase_sq_total,6994719
mass_sq_total,36787450
q_topo,0.19013873
alpha_em,0.00756538
omega_energy,4.25931778
phase_pos_count,2254732
phase_zero_count,97135
phase_neg_count,2594663
prisms_gen1,46687
prisms_gen2,299012
prisms_gen3,40095
