# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-02T21:20:54Z
# N: 10000000  M: 3 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,1157682
max_intermediates,30
count_gen1,62947
count_gen2,2553812
count_gen3,389826
count_antigen1,239131
count_sterile,401237
avg_mass_gen1,4.5537
avg_mass_gen2,6.5367
avg_mass_gen3,7.7285
avg_mass_sterile,6.1918
visible_mass_total,2745643
dark_mass_total,4676147
grav_mass_total,7421790
omega_ratio,1.703115
phase_sq_total,10495641
mass_sq_total,55199460
q_topo,0.19014028
alpha_em,0.00756544
omega_energy,4.25927478
phase_pos_count,3380387
phase_zero_count,145449
phase_neg_count,3895954
prisms_gen1,46667
prisms_gen2,299155
prisms_gen3,40070
