# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T21:21:57Z
# N: 10000000  M: 6 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.002588888888888e-1,1.9473,4.997741481481481e-1,1.9482,4.998078518518518e-1,1.9574,4.998074074074074e-1,1.9571,4.997997777777778e-1,1.9572,4.997983703703703e-1,1.9550,2.7532604685708114e-2,4.419694940893564e-2,1.1487205145794845e-7,6.989552750299651e-7,4.998016296296297e-1,1.9572,4.55,6.53,7.73,4.45,0.002031,0.004575,0.000300,0.000304,0.000360,0.000341,0.000279,5.427396334626782e-4,4.2981820072512196e-4
2,2.547439259259259e-1,2.4273,2.544133333333333e-1,2.4291,2.536222222222222e-1,2.4382,2.536465925925926e-1,2.4376,2.536353333333334e-1,2.4369,2.538268888888888e-1,2.4332,4.5654052317777256e-2,7.247501004727392e-3,1.90486411637267e-7,1.1457956917781655e-7,2.536330370370370e-1,2.4374,4.55,6.53,7.73,4.45,0.002877,0.003345,0.000839,0.000627,0.000400,0.000688,0.000785,9.756335769619647e-4,3.5619126514867467e-4
3,1.318674074074074e-1,3.7500,1.316107407407407e-1,3.7541,1.309651111111111e-1,3.7648,1.310024444444444e-1,3.7649,1.310560000000000e-1,3.7622,1.313230370370370e-1,3.7541,6.7444343639475e-2,6.431086828818517e-3,2.814056099461868e-7,1.0171964242367185e-7,1.310191851851852e-1,3.7636,4.55,6.53,7.73,4.45,0.007052,0.006031,0.001607,0.002753,0.001612,0.002023,0.001744,1.2013590667613282e-3,1.2746333609657795e-4
4,6.944911111111111e-2,4.9532,6.926088888888890e-2,4.9575,6.879118518518518e-2,4.9822,6.879392592592591e-2,4.9805,6.885651851851853e-2,4.9791,6.910274074074074e-2,4.9616,8.857197232201099e-2,5.610859503966681e-3,3.6955874424933863e-7,8.873735475982726e-8,6.882096296296296e-2,4.9830,4.55,6.53,7.73,4.45,0.009077,0.014631,0.003614,0.006508,0.005505,0.006512,0.003324,1.3444751471077478e-3,2.009319872079609e-4
5,3.721377777777778e-2,6.0466,3.710125925925926e-2,6.0579,3.668666666666667e-2,6.1065,3.671274074074075e-2,6.1016,3.674133333333333e-2,6.1066,3.698051851851852e-2,6.0803,1.0151732756948373e-1,5.115522809325305e-3,4.2356169198411174e-7,8.090578103168767e-8,3.669437037037037e-2,6.1120,4.55,6.53,7.73,4.45,0.014976,0.023097,0.004823,0.009061,0.010629,0.007211,0.005360,1.9169139730578892e-3,3.3526000695942147e-4
6,2.038385185185185e-2,7.0445,2.028207407407408e-2,7.0368,1.994703703703704e-2,7.1391,1.996762962962963e-2,7.1289,1.996570370370370e-2,7.1258,2.014422222222222e-2,7.0988,1.0539814395716983e-1,4.657453429459438e-3,4.3976515535131705e-7,7.366923895999638e-8,1.993370370370370e-2,7.1441,4.55,6.53,7.73,4.45,0.029667,0.023957,0.019591,0.014120,0.010329,0.013057,0.019367,1.4679414537616432e-3,1.6023138749736006e-4
7,1.137644444444444e-2,7.8901,1.135666666666667e-2,7.8306,1.103814814814815e-2,7.9942,1.106496296296296e-2,7.9409,1.107940740740741e-2,7.9547,1.120229629629630e-2,7.8896,1.0425610862770608e-1,4.299423960590478e-3,4.3497564816659215e-7,6.801311955078461e-8,1.103125925925926e-2,7.9831,4.55,6.53,7.73,4.45,0.038078,0.039856,0.048330,0.022391,0.042647,0.018033,0.012616,1.3590275590673428e-3,2.2172598181696007e-4
8,6.552370370370371e-3,8.5044,6.575703703703704e-3,8.5115,6.316666666666667e-3,8.5653,6.371851851851852e-3,8.5360,6.358592592592594e-3,8.5305,6.475777777777778e-3,8.5011,9.84861823796978e-2,3.688716133136274e-3,4.1091893671840875e-7,5.8323513242357236e-8,6.322518518518519e-3,8.5670,4.55,6.53,7.73,4.45,0.036241,0.052089,0.073449,0.072524,0.042321,0.034525,0.045297,1.5966499189446941e-3,1.5525731201132062e-4
9,3.907555555555556e-3,8.8851,3.897259259259260e-3,9.0070,3.762444444444445e-3,8.9743,3.785481481481481e-3,9.0000,3.793037037037037e-3,8.9705,3.849333333333334e-3,8.9958,9.198006388392088e-2,3.4380794614833326e-3,3.8375187828754907e-7,5.435554880019686e-8,3.759259259259259e-3,8.9643,4.55,6.53,7.73,4.45,0.064039,0.112678,0.081497,0.119662,0.044829,0.088712,0.053896,1.7327060970880176e-3,1.6528680033843745e-4
10,2.431481481481481e-3,9.0522,2.407185185185185e-3,9.1111,2.320814814814815e-3,9.1954,2.334370370370370e-3,9.1677,2.337185185185185e-3,9.2677,2.373555555555555e-3,9.1690,8.510476107782146e-2,2.873888377331829e-3,3.5505715081933755e-7,4.54714633427295e-8,2.325555555555556e-3,9.2697,4.55,6.53,7.73,4.45,0.140273,0.116266,0.109047,0.112889,0.134238,0.105714,0.089369,1.6786361437123392e-3,2.0841482488361503e-4
