# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T03:54:01Z
# N: 10000000  M: 11 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,4247031
max_intermediates,30
count_gen1,63083
count_gen2,2552815
count_gen3,390944
count_antigen1,239396
count_sterile,400995
avg_mass_gen1,4.5536
avg_mass_gen2,6.5326
avg_mass_gen3,7.7292
avg_mass_sterile,6.1917
visible_mass_total,10075903
dark_mass_total,17138669
grav_mass_total,27214572
omega_ratio,1.700956
phase_sq_total,38541123
mass_sq_total,202345302
q_topo,0.19047204
alpha_em,0.00757864
omega_energy,4.25011433
phase_pos_count,12390135
phase_zero_count,534647
phase_neg_count,14289790
prisms_gen1,46727
prisms_gen2,299183
prisms_gen3,40182
