# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T08:47:08Z
# N: 10000000  M: 18 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,6951463
max_intermediates,30
count_gen1,63160
count_gen2,2553082
count_gen3,390979
count_antigen1,239541
count_sterile,400755
avg_mass_gen1,4.5546
avg_mass_gen2,6.5313
avg_mass_gen3,7.7315
avg_mass_sterile,6.1895
visible_mass_total,16498216
dark_mass_total,28040595
grav_mass_total,44538811
omega_ratio,1.699614
phase_sq_total,63128858
mass_sq_total,331097313
q_topo,0.19066557
alpha_em,0.00758634
omega_energy,4.24478540
phase_pos_count,20280341
phase_zero_count,874753
phase_neg_count,23383717
prisms_gen1,46754
prisms_gen2,299261
prisms_gen3,40176
