# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T07:29:27Z
# N: 10000000  M: 20 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000474444444445e-1,1.9494,4.999608222222222e-1,1.9489,4.998068888888888e-1,1.9574,4.998063333333335e-1,1.9570,4.997990222222224e-1,1.9570,4.997985333333334e-1,1.9551,2.780565291218402e-2,4.396889109756174e-2,1.1606305684665284e-7,6.949219272611912e-7,4.998015111111112e-1,1.9572,4.55,6.53,7.73,4.45,0.002886,0.002932,0.000452,0.000421,0.000485,0.000481,0.000448,8.910806615230485e-4,7.438921411884244e-4
2,2.544507111111112e-1,2.4290,2.544490000000000e-1,2.4283,2.536212222222222e-1,2.4380,2.536532888888889e-1,2.4374,2.536479111111111e-1,2.4370,2.538227555555556e-1,2.4336,4.559165199143361e-2,7.247938084254825e-3,1.9030877075052678e-7,1.1453768086216373e-7,2.536392222222222e-1,2.4374,4.55,6.53,7.73,4.45,0.003170,0.002892,0.000866,0.000722,0.000863,0.000724,0.000599,8.703571199769641e-4,3.3485749289669463e-4
3,1.316860000000000e-1,3.7519,1.317173111111111e-1,3.7508,1.309775111111111e-1,3.7644,1.310211555555556e-1,3.7636,1.310458888888889e-1,3.7627,1.312881111111111e-1,3.7544,6.758179332752509e-2,6.246245982844919e-3,2.820996481065698e-7,9.870990329967055e-8,1.310210444444444e-1,3.7637,4.55,6.53,7.73,4.45,0.005506,0.005776,0.001902,0.002355,0.001791,0.002178,0.002091,1.1576932964785195e-3,2.866574979611268e-4
4,6.932542222222222e-2,4.9560,6.934997777777779e-2,4.9493,6.880088888888888e-2,4.9808,6.882677777777778e-2,4.9796,6.884762222222221e-2,4.9787,6.909311111111109e-2,4.9629,8.830979131124235e-2,5.753828239600779e-3,3.686210130068856e-7,9.091232391252071e-8,6.882157777777778e-2,4.9817,4.55,6.53,7.73,4.45,0.011036,0.013101,0.004907,0.004638,0.005882,0.006380,0.003669,1.3472494302320121e-3,2.9359800395962994e-4
5,3.713615555555556e-2,6.0544,3.720897777777778e-2,6.0484,3.670371111111111e-2,6.1077,3.672715555555554e-2,6.1032,3.674199999999999e-2,6.1025,3.695897777777778e-2,6.0800,1.0135809265156466e-1,5.1581789103903085e-3,4.2308271791910593e-7,8.152511312896419e-8,3.670744444444445e-2,6.1062,4.55,6.53,7.73,4.45,0.020860,0.023644,0.008571,0.007131,0.011311,0.009722,0.008774,1.6535240691445828e-3,3.3060866053078017e-4
6,2.031555555555555e-2,7.0377,2.034733333333333e-2,7.0334,1.994511111111111e-2,7.1426,1.997080000000000e-2,7.1292,1.997988888888889e-2,7.1302,2.014260000000000e-2,7.1048,1.0585639947182109e-1,4.668181922535639e-3,4.418685383309805e-7,7.377916573719875e-8,1.995706666666667e-2,7.1379,4.55,6.53,7.73,4.45,0.030437,0.033769,0.018745,0.017229,0.016717,0.015045,0.021491,1.4055671021228147e-3,2.1748487374730288e-4
7,1.136566666666667e-2,7.8799,1.139624444444445e-2,7.8620,1.103673333333333e-2,7.9846,1.106873333333333e-2,7.9504,1.107144444444444e-2,7.9599,1.118444444444444e-2,7.9033,1.035093447808999e-1,4.241449045123114e-3,4.320711977540143e-7,6.704649048912801e-8,1.104660000000000e-2,7.9765,4.55,6.53,7.73,4.45,0.036619,0.057720,0.049296,0.028821,0.034082,0.035240,0.031088,1.6486636813238262e-3,2.7108198011676363e-4
8,6.540022222222221e-3,8.4945,6.567088888888889e-3,8.5211,6.324733333333334e-3,8.5741,6.364133333333334e-3,8.5483,6.358311111111110e-3,8.5403,6.462466666666666e-3,8.4688,9.805498022667092e-2,3.769987882127393e-3,4.093144235485224e-7,5.957410041609632e-8,6.335911111111111e-3,8.5615,4.55,6.53,7.73,4.45,0.060263,0.065639,0.060608,0.066902,0.049240,0.055413,0.056643,1.6292133250857515e-3,1.9375603708947484e-4
9,3.908711111111110e-3,8.9050,3.906111111111111e-3,8.9720,3.757800000000000e-3,8.9847,3.780933333333333e-3,8.9969,3.785644444444445e-3,8.9662,3.858822222222222e-3,8.9420,9.132620138643777e-2,3.457461070262957e-3,3.812140434079018e-7,5.464062370382886e-8,3.767111111111111e-3,8.9809,4.55,6.53,7.73,4.45,0.099444,0.104338,0.078858,0.112182,0.073044,0.100518,0.065291,1.4657024521500003e-3,2.0965059266805222e-4
10,2.421511111111111e-3,9.1054,2.413422222222223e-3,9.1009,2.321066666666667e-3,9.2208,2.332355555555555e-3,9.2047,2.338222222222222e-3,9.2239,2.382955555555556e-3,9.1765,8.484000621794098e-2,2.9803013624037605e-3,3.541222356734402e-7,4.711332831150448e-8,2.326155555555556e-3,9.2535,4.55,6.53,7.73,4.45,0.164383,0.163569,0.117447,0.137597,0.096113,0.128021,0.116765,1.7464005391569228e-3,2.8806011111783355e-4
