# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T06:28:05Z
# N: 10000000  M: 17 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000346405228758e-1,1.9491,4.999513725490196e-1,1.9490,4.998071372549018e-1,1.9574,4.998064313725492e-1,1.9571,4.997991372549021e-1,1.9570,4.997985359477125e-1,1.9551,2.7774055003505316e-2,4.392456515099401e-2,1.1596257153418748e-7,6.950941466649024e-7,4.998015163398693e-1,1.9572,4.55,6.53,7.73,4.45,0.002765,0.003069,0.000480,0.000392,0.000493,0.000497,0.000449,9.378002194156833e-4,7.670469262885223e-4
2,2.544677124183007e-1,2.4287,2.544368104575163e-1,2.4285,2.536216209150327e-1,2.4378,2.536453594771242e-1,2.4375,2.536534640522876e-1,2.4368,2.538204444444445e-1,2.4336,4.573891469475113e-2,7.220892531495557e-3,1.90975410136193e-7,1.1425178318029843e-7,2.536351633986928e-1,2.4374,4.55,6.53,7.73,4.45,0.002948,0.002740,0.000865,0.000581,0.000637,0.000741,0.000608,8.156562480467224e-4,3.5535990448696414e-4
3,1.317081307189543e-1,3.7511,1.316996339869281e-1,3.7513,1.309877124183007e-1,3.7642,1.310086274509804e-1,3.7638,1.310621960784314e-1,3.7624,1.312916339869281e-1,3.7542,6.754597822634252e-2,6.258420394478961e-3,2.820282428834906e-7,9.902067351059551e-8,1.310167320261438e-1,3.7639,4.55,6.53,7.73,4.45,0.005613,0.006106,0.001995,0.002352,0.001721,0.002054,0.001710,1.1954024476842943e-3,3.011487314689067e-4
4,6.934826143790850e-2,4.9561,6.933498039215688e-2,4.9506,6.880347712418300e-2,4.9815,6.881976470588236e-2,4.9801,6.885652287581701e-2,4.9779,6.909777777777777e-2,4.9620,8.846013042517409e-2,5.6891743840933135e-3,3.693484572297254e-7,9.001837585907682e-8,6.881589542483661e-2,4.9814,4.55,6.53,7.73,4.45,0.011792,0.013706,0.004573,0.004761,0.005724,0.006044,0.003610,1.3107731992094134e-3,2.370843142757066e-4
5,3.714162091503268e-2,6.0563,3.719105882352941e-2,6.0519,3.669942483660131e-2,6.1081,3.671824836601306e-2,6.1029,3.675419607843137e-2,6.1007,3.696841830065360e-2,6.0775,1.0158155496971932e-1,5.198354839069389e-3,4.241291372715345e-7,8.226152195961441e-8,3.670896732026144e-2,6.1060,4.55,6.53,7.73,4.45,0.019634,0.023755,0.007228,0.007488,0.011076,0.008109,0.007608,1.6373545364681173e-3,3.404033714343066e-4
6,2.031456209150326e-2,7.0403,2.032886274509803e-2,7.0362,1.994410457516340e-2,7.1418,1.996988235294118e-2,7.1280,1.998983006535948e-2,7.1271,2.015435294117647e-2,7.1045,1.0600117960996637e-1,4.673071980504776e-3,4.4259360685263565e-7,7.394393442996666e-8,1.995657516339869e-2,7.1361,4.55,6.53,7.73,4.45,0.030892,0.033995,0.019615,0.016322,0.013656,0.015547,0.019805,1.338499098355413e-3,2.2850152027789234e-4
7,1.136240522875817e-2,7.8769,1.138525490196078e-2,7.8597,1.103704575163399e-2,7.9860,1.106836601307189e-2,7.9487,1.108088888888889e-2,7.9609,1.118794771241830e-2,7.9067,1.0379290751403042e-1,4.251051569225111e-3,4.3337266983819523e-7,6.727448200832758e-8,1.105050980392157e-2,7.9708,4.55,6.53,7.73,4.45,0.037155,0.060764,0.052524,0.030852,0.036390,0.037020,0.028585,1.6166762268405768e-3,2.5817924522122785e-4
8,6.542509803921568e-3,8.4833,6.563346405228758e-3,8.5154,6.323189542483660e-3,8.5780,6.365385620915033e-3,8.5467,6.360549019607843e-3,8.5412,6.463137254901961e-3,8.4722,9.829134239827063e-2,3.748849823673748e-3,4.1041611545193796e-7,5.931889877168537e-8,6.340993464052288e-3,8.5561,4.55,6.53,7.73,4.45,0.054045,0.067785,0.063605,0.071987,0.051957,0.059363,0.056207,1.5599544700022681e-3,1.980580766616954e-4
9,3.913045751633987e-3,8.8889,3.905176470588235e-3,8.9774,3.756078431372549e-3,8.9794,3.781568627450980e-3,8.9981,3.788444444444445e-3,8.9609,3.858352941176470e-3,8.9458,9.13471662017799e-2,3.4517041943390074e-3,3.814072817588852e-7,5.461320831623892e-8,3.770980392156863e-3,8.9738,4.55,6.53,7.73,4.45,0.093971,0.101969,0.077623,0.120723,0.077912,0.107662,0.068182,1.4194138046993627e-3,2.0996866369869018e-4
10,2.426797385620915e-3,9.1045,2.410614379084968e-3,9.1168,2.321882352941177e-3,9.2082,2.332496732026144e-3,9.1962,2.340418300653595e-3,9.2303,2.382169934640523e-3,9.1776,8.45883722623229e-2,2.9610183171822828e-3,3.5316973542702755e-7,4.687520164011093e-8,2.329882352941177e-3,9.2581,4.55,6.53,7.73,4.45,0.171936,0.157487,0.116649,0.122288,0.098788,0.131771,0.124519,1.6744148656716118e-3,3.0533225352142733e-4
