# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T08:47:08Z
# N: 10000000  M: 18 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000253879139930e-1,1.9456,5.000455496397828e-1,1.9446,5.720361517412511e-1,2.0117,4.974851578647533e-1,1.9464,5.053423612545688e-1,1.9616,5.063653857438973e-1,1.9532,1.5069530724926406e-2,4.410101819702076e-2,6.289618151552724e-8,6.983026012843343e-7,5.174949813993428e-1,1.9355,4.55,6.53,7.73,4.45,0.014012,0.018623,0.379148,0.024379,0.055063,0.008518,0.072146,1.253701655784992e-3,5.847511690089983e-4
2,2.547668197319001e-1,2.4273,2.548691158037309e-1,2.4267,2.848591323832808e-1,2.4677,2.534043420553028e-1,2.4387,2.560554062709395e-1,2.4218,2.573247532399678e-1,2.4486,1.696902564002463e-2,8.564669834314136e-3,7.082906791720281e-8,1.356034082530318e-7,2.645946714890032e-1,2.4313,4.55,6.53,7.73,4.45,0.011330,0.013715,0.195824,0.011350,0.061104,0.078570,0.023235,1.1335101782813835e-3,4.054904432078448e-4
3,1.318052109021236e-1,3.7505,1.318524660319710e-1,3.7536,1.474797519135017e-1,3.8421,1.303141353107531e-1,3.7722,1.336136403330040e-1,3.7597,1.319232838906507e-1,3.7839,1.69694541223849e-2,8.27092048061137e-3,7.08323066635504e-8,1.309555971056126e-7,1.361085791221289e-1,3.8084,4.55,6.53,7.73,4.45,0.015294,0.003400,46.062052,0.016685,0.048352,0.125520,0.179789,9.354462300063365e-4,4.568059761745131e-4
4,6.944352086879862e-2,4.9491,6.939653656188491e-2,4.9588,7.521939307257419e-2,5.0971,6.855475058278883e-2,4.9929,6.957269375690450e-2,5.0038,6.933500746835680e-2,5.0589,1.6720120573387835e-2,8.167347486959917e-3,6.979644843061952e-8,1.2931006343062321e-7,7.069042569463863e-2,4.9912,4.55,6.53,7.73,4.45,0.042918,0.003067,61.999151,0.030847,0.128169,0.713883,0.092469,7.886827771806354e-4,4.1797164204286977e-4
5,3.723575486923524e-2,6.0504,3.715634125205148e-2,6.0536,4.011788299495652e-2,6.1160,3.640461757710487e-2,6.0904,3.722275914393725e-2,6.1590,3.623805752073092e-2,6.1125,1.650080408273296e-2,8.14722722758617e-3,6.888259445319229e-8,1.2896760088069462e-7,3.803945929632354e-2,6.0705,4.55,6.53,7.73,4.45,0.042716,0.028368,1.486212,0.043230,0.554267,0.187132,0.057783,6.836016429681099e-4,4.937030378427583e-4
6,2.036654570242280e-2,7.0223,2.033955784986746e-2,6.9954,2.176907002151046e-2,7.1423,1.994373216438599e-2,7.0080,1.996016892538827e-2,7.1062,2.008036886028190e-2,6.8152,1.648323914097232e-2,8.111983003873861e-3,6.881035706843611e-8,1.2841769951067907e-7,2.064812551399939e-2,6.7823,4.55,6.53,7.73,4.45,0.054092,0.172791,1.744876,0.316510,0.294457,1.678323,0.918372,5.944736211574654e-4,4.197966373403207e-4
7,1.142573347405682e-2,7.8453,1.145309770104828e-2,7.7803,1.206399782411797e-2,7.9634,1.119755921087907e-2,7.6643,1.126153887867511e-2,7.8052,1.151380347043949e-2,7.6500,1.6591197377806243e-2,8.106605016922598e-3,6.926211091965287e-8,1.2834379834428433e-7,1.215333569464140e-2,7.2299,4.55,6.53,7.73,4.45,0.082342,0.294818,1.966254,0.847940,0.749329,1.211436,1.894104,6.623381402733036e-4,3.898285781559943e-4
8,6.589145587920535e-3,8.6162,6.642222716425467e-3,8.6265,6.924237588020099e-3,8.5433,6.622488061208692e-3,8.7104,6.495002395777613e-3,8.6056,6.681653731376889e-3,8.5800,1.6622000255592233e-2,8.164517978223424e-3,6.939124161269604e-8,1.2926227642563708e-7,7.298531830082377e-3,9.0905,4.55,6.53,7.73,4.45,0.527844,0.547479,2.117065,0.514988,0.170028,0.246276,1.630463,6.090754177449024e-4,3.7114939128057183e-4
9,3.869708347643895e-3,9.2262,3.873956795614604e-3,9.2013,4.123508781249924e-3,9.1655,3.747786698269235e-3,9.3932,3.819183774664109e-3,9.5330,3.917325857923875e-3,9.6906,1.6562801577112995e-2,8.147224289514794e-3,6.914419366262621e-8,1.2898455670592837e-7,3.877970008645653e-3,9.8607,4.55,6.53,7.73,4.45,1.324556,0.942074,2.380811,1.102800,136.398681,137.595361,1.689024,5.97008296148253e-4,3.488871971213361e-4
10,2.353820724395295e-3,9.2333,2.379391964681890e-3,9.2254,2.490331467138758e-3,9.4107,2.322073051728922e-3,8.9743,2.242116776056098e-3,9.5857,2.266340326764031e-3,9.7027,1.6459250162186984e-2,8.274050349288232e-3,6.871456467312301e-8,1.309948219789347e-7,2.429034992888700e-3,8.6873,4.55,6.53,7.73,4.45,0.713336,0.520289,2.432831,0.865735,150.244343,151.588728,2.263427,6.397291014028809e-4,3.326618792127052e-4
11,1.532280049334994e-3,8.9817,1.535178549143713e-3,8.8440,1.603971399691244e-3,9.4358,1.523074279763173e-3,9.3318,1.459723978147245e-3,8.8772,1.479772335888587e-3,9.0461,1.6560500312835187e-2,8.198927899345806e-3,6.913596357279742e-8,1.297978258203946e-7,1.622018273281797e-3,9.9024,4.55,6.53,7.73,4.45,0.756162,0.322655,2.838766,2.057281,2.179125,2.307829,166.037677,4.537038678531982e-4,3.556131630231272e-4
12,1.037965697672765e-3,8.6698,1.062498088962273e-3,8.2241,1.053627895050518e-3,8.6942,9.918009235886009e-4,9.1431,9.981659485133823e-4,8.4394,9.935391926422063e-4,8.9365,1.6504421820072248e-2,8.215420642776222e-3,6.88999698588979e-8,1.3006777533389398e-7,9.849027941622520e-4,10.1840,4.55,6.53,7.73,4.45,0.757423,1.700041,2.830982,1.876412,2.162839,2.329904,181.365695,3.580856553056933e-4,3.041486605779118e-4
13,7.427450896996668e-4,7.8759,7.723703409789065e-4,7.9901,7.759085857420215e-4,7.7220,7.096635218547478e-4,7.9633,7.213234628365979e-4,8.2980,7.014905386120908e-4,8.3270,1.6539744697000792e-2,8.209154290829232e-3,6.904537431174103e-8,1.299710065199883e-7,6.928300513774718e-4,8.3766,4.55,6.53,7.73,4.45,1.026127,0.513748,3.114032,1.990681,2.204999,2.368212,2.154581,4.7962593164575356e-4,2.871441404151109e-4
14,5.656518900785320e-4,6.7222,5.739487936996553e-4,7.3608,5.810388195704599e-4,7.0777,5.368677561868320e-4,7.0590,5.265510395618534e-4,7.8818,5.229406190576215e-4,7.2639,1.6560377806618995e-2,8.258005691701603e-3,6.912968658381961e-8,1.3075218908084723e-7,5.164155186678363e-4,7.3383,4.55,6.53,7.73,4.45,2.653519,0.613261,3.716958,1.815043,2.055642,2.411067,2.042047,5.38861443306172e-4,3.717787404972299e-4
15,4.591490353437094e-4,6.4638,4.561380398548252e-4,6.2094,4.676033905844815e-4,6.4403,4.282530699742004e-4,6.4612,4.104045369509207e-4,6.4236,4.171609957013846e-4,6.0237,1.6535021083960533e-2,8.246966209724224e-3,6.902358249128631e-8,1.3058556910308343e-7,4.098219551690409e-4,6.7557,4.55,6.53,7.73,4.45,0.265205,0.752562,2.816387,1.676808,2.083880,1.900987,2.035389,5.832359420511005e-4,3.903819823252441e-4
