# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M4 Combinatorial RG Flow (Q_topo in Alexandrov intervals)
volume,n_prisms,local_phase_sq,local_mass_sq,local_q,local_alpha
89615,1634,15512,68752,0.225623,0.008977
54434,1061,8302,50760,0.163554,0.006508
49828,955,7011,43909,0.159671,0.006353
27553,385,3461,16394,0.211114,0.008400
412,1,4,9,0.444444,0.017684
1910,8,42,370,0.113514,0.004517
624,1,0,25,0.000000,0.000000
38104,750,5659,34069,0.166104,0.006609
35643,660,5118,30465,0.167996,0.006684
16462,252,2002,11422,0.175276,0.006974
4714,37,210,1527,0.137525,0.005472
222807,5965,45150,275822,0.163693,0.006513
9777,100,709,4682,0.151431,0.006025
2280,8,45,253,0.177866,0.007077
17527,268,1889,11695,0.161522,0.006427
2049,11,71,533,0.133208,0.005300
2531,6,105,172,0.610465,0.024290
11696,87,1221,3714,0.328756,0.013081
5891,61,492,2673,0.184063,0.007324
43603,867,6591,39931,0.165060,0.006568
1425,3,74,74,1.000000,0.039789
47936,1015,7896,48038,0.164370,0.006540
8609,106,773,5365,0.144082,0.005733
6703,64,474,3117,0.152069,0.006051
12330,170,1198,6972,0.171830,0.006837
45258,873,6788,39876,0.170228,0.006773
767,1,9,9,1.000000,0.039789
23507,255,3206,9271,0.345810,0.013759
2410,5,14,198,0.070707,0.002813
90130,1598,15131,65213,0.232024,0.009232
11640,113,1022,5644,0.181077,0.007205
2344,13,64,636,0.100629,0.004004
13100,168,1077,7180,0.150000,0.005968
232,1,36,36,1.000000,0.039789
12026,179,1159,7427,0.156052,0.006209
79701,1649,14085,75256,0.187161,0.007447
4489,39,371,1430,0.259441,0.010323
1585,4,34,163,0.208589,0.008299
16877,201,2286,7898,0.289440,0.011516
28340,322,2835,11982,0.236605,0.009414
24635,301,3887,13178,0.294961,0.011736
16294,219,1815,9891,0.183500,0.007301
969,4,83,99,0.838384,0.033358
20426,241,2175,10631,0.204590,0.008140
41761,832,6014,39338,0.152880,0.006083
2614,11,180,301,0.598007,0.023794
1466,4,17,169,0.100592,0.004002
73315,1574,12059,71369,0.168967,0.006723
1463,5,56,132,0.424242,0.016880
5596,23,434,782,0.554987,0.022082
26037,414,3570,18572,0.192225,0.007648
50480,967,7566,43871,0.172460,0.006862
28298,433,3479,18342,0.189674,0.007547
15339,180,1374,7741,0.177496,0.007062
458,1,1,9,0.111111,0.004421
265,1,16,16,1.000000,0.039789
389,1,1,16,0.062500,0.002487
12957,169,1397,7002,0.199514,0.007938
12767,134,1057,5300,0.199434,0.007935
54575,992,6735,46922,0.143536,0.005711
18668,226,2432,10694,0.227417,0.009049
30576,462,4086,19191,0.212912,0.008472
43895,631,9194,23205,0.396208,0.015765
75971,1622,12292,73619,0.166968,0.006643
5654,43,449,1664,0.269832,0.010736
1614,6,33,117,0.282051,0.011222
2939,18,163,859,0.189756,0.007550
1260,2,34,50,0.680000,0.027056
9476,98,1011,3875,0.260903,0.010381
413,1,16,16,1.000000,0.039789
7099,60,429,3051,0.140610,0.005595
66369,1289,10065,58470,0.172140,0.006849
1567,2,36,73,0.493151,0.019622
6482,32,336,1190,0.282353,0.011234
18496,249,1975,10978,0.179905,0.007158
105865,2550,19060,118107,0.161379,0.006421
826,1,4,16,0.250000,0.009947
237,1,36,36,1.000000,0.039789
3958,29,142,1306,0.108729,0.004326
2137,9,229,301,0.760797,0.030271
19927,286,1887,13854,0.136206,0.005419
15121,170,1596,7040,0.226705,0.009020
1385,1,16,16,1.000000,0.039789
14101,179,1591,8458,0.188106,0.007484
26292,468,3461,20760,0.166715,0.006633
49973,1009,8093,43714,0.185135,0.007366
1041,3,38,86,0.441860,0.017581
1741,5,54,106,0.509434,0.020270
58006,1241,8804,57928,0.151982,0.006047
2312,7,129,349,0.369628,0.014707
9362,116,734,5251,0.139783,0.005562
62204,1246,8988,57728,0.155696,0.006195
1035,1,49,49,1.000000,0.039789
92570,1973,14970,86362,0.173340,0.006897
105371,2029,17387,90661,0.191780,0.007631
1165,5,37,133,0.278195,0.011069
123916,2819,22144,124860,0.177351,0.007057
740,4,58,190,0.305263,0.012146
10770,124,1185,6277,0.188784,0.007511
975,3,35,67,0.522388,0.020785
13818,205,1579,9300,0.169785,0.006756
6390,47,1225,1541,0.794938,0.031630
83560,1755,14276,80791,0.176703,0.007031
1257,1,49,49,1.000000,0.039789
72690,1579,12113,73133,0.165630,0.006590
1304,4,15,206,0.072816,0.002897
9661,76,639,3111,0.205400,0.008173
1546,3,29,138,0.210145,0.008361
6084,62,524,2627,0.199467,0.007937
4903,41,587,2201,0.266697,0.010612
12063,133,959,6177,0.155253,0.006177
228378,5661,47977,258090,0.185893,0.007396
10365,120,852,5782,0.147354,0.005863
66089,1422,10181,65812,0.154698,0.006155
3291,20,122,915,0.133333,0.005305
40460,773,5889,36211,0.162630,0.006471
28239,536,4222,22574,0.187029,0.007442
2328,8,53,189,0.280423,0.011158
7856,75,533,3403,0.156627,0.006232
14595,152,1074,5526,0.194354,0.007733
1885,17,327,343,0.953353,0.037933
9189,57,764,2290,0.333624,0.013274
33907,605,4261,27324,0.155943,0.006205
4478,24,319,967,0.329886,0.013126
73956,1461,11414,64616,0.176644,0.007028
6350,72,463,2815,0.164476,0.006544
13806,175,1381,7855,0.175812,0.006995
5516,55,411,2275,0.180659,0.007188
135738,3125,25894,137532,0.188276,0.007491
27596,473,3641,21229,0.171511,0.006824
1248,2,65,90,0.722222,0.028736
57230,1051,8756,48811,0.179386,0.007138
45912,923,6652,43349,0.153452,0.006106
95979,2097,16020,98474,0.162683,0.006473
15710,206,1470,9489,0.154916,0.006164
43931,821,6216,36424,0.170657,0.006790
50388,1082,7977,47953,0.166350,0.006619
104863,2486,19602,114215,0.171624,0.006829
5776,48,488,1855,0.263073,0.010467
2311,9,44,443,0.099323,0.003952
1848,5,8,304,0.026316,0.001047
92982,2173,16146,101373,0.159273,0.006337
2868,20,184,635,0.289764,0.011529
54215,1017,12922,37868,0.341238,0.013577
30617,517,4081,22000,0.185500,0.007381
132506,3032,23480,133988,0.175240,0.006973
3080,22,153,841,0.181926,0.007239
786,1,36,64,0.562500,0.022381
96040,2213,17112,104376,0.163946,0.006523
69325,1530,11765,71707,0.164070,0.006528
49427,1049,7433,48409,0.153546,0.006109
16186,225,1796,10000,0.179600,0.007146
3395,28,224,1371,0.163384,0.006501
1991,9,73,205,0.356098,0.014169
15831,139,1110,4629,0.239793,0.009541
14849,193,1817,7956,0.228381,0.009087
4849,32,516,1028,0.501946,0.019972
4141,13,113,485,0.232990,0.009270
1928,4,42,146,0.287671,0.011446
786,2,8,45,0.177778,0.007074
210800,5254,41139,234038,0.175779,0.006994
27157,403,2966,17509,0.169399,0.006740
32419,598,4419,28080,0.157372,0.006262
778,2,2,18,0.111111,0.004421
534,1,16,100,0.160000,0.006366
1406,6,50,338,0.147929,0.005886
20874,350,2911,15610,0.186483,0.007420
1061,1,16,25,0.640000,0.025465
13692,118,1140,4957,0.229978,0.009151
1021,3,42,86,0.488372,0.019432
71242,1517,11760,71238,0.165080,0.006568
36923,689,4913,32428,0.151505,0.006028
42597,594,5864,22924,0.255802,0.010178
12738,99,983,3812,0.257870,0.010260
4354,24,617,1019,0.605496,0.024092
93084,2155,16500,97558,0.169130,0.006729
647,1,1,9,0.111111,0.004421
17040,238,1843,10852,0.169830,0.006757
6668,34,432,1279,0.337764,0.013439
2078,10,54,391,0.138107,0.005495
143040,3509,27463,158318,0.173467,0.006902
935,1,9,9,1.000000,0.039789
136927,3360,25339,154537,0.163967,0.006524
4869,38,237,1601,0.148032,0.005890
2535,9,172,188,0.914894,0.036402
43028,647,5997,25392,0.236177,0.009397
53580,1113,7912,49540,0.159709,0.006355
6125,51,479,2496,0.191907,0.007636
1296,3,6,115,0.052174,0.002076
9264,77,579,3938,0.147029,0.005850
28965,329,3998,13649,0.292915,0.011655
62823,1363,10132,62904,0.161071,0.006409
1408,6,102,102,1.000000,0.039789
877,2,5,61,0.081967,0.003261
2188,9,106,637,0.166405,0.006621
4714,31,319,1513,0.210839,0.008389
609,2,20,32,0.625000,0.024868
5249,44,357,1703,0.209630,0.008341
16985,220,1627,8671,0.187637,0.007466
2007,5,14,106,0.132075,0.005255
69467,1440,11644,66708,0.174552,0.006945
6758,68,582,2530,0.230040,0.009153
2216,8,68,256,0.265625,0.010569
2488,17,213,715,0.297902,0.011853
34355,621,4890,27111,0.180370,0.007177
10140,84,1323,3362,0.393516,0.015657
106836,2493,18955,114764,0.165165,0.006572
794,1,1,25,0.040000,0.001592
3884,24,186,950,0.195789,0.007790
13984,198,1428,8912,0.160233,0.006375
21201,346,2926,15554,0.188119,0.007485
941,2,2,50,0.040000,0.001592
34250,653,4610,30350,0.151895,0.006044
1735,7,23,191,0.120419,0.004791
2297,11,97,460,0.210870,0.008390
3180,15,120,569,0.210896,0.008391
531,1,4,16,0.250000,0.009947
99339,2212,17127,102805,0.166597,0.006629
1562,7,37,305,0.121311,0.004827
10236,138,988,5346,0.184811,0.007353
27630,472,3155,20879,0.151109,0.006012
26003,431,3259,20744,0.157106,0.006251
52039,1042,7113,48756,0.145890,0.005805
1100,3,50,50,1.000000,0.039789
24788,400,3029,18577,0.163051,0.006488
787,2,9,98,0.091837,0.003654
519,1,16,16,1.000000,0.039789
19529,261,2114,11888,0.177826,0.007075
6247,61,403,2678,0.150485,0.005988
1203,1,0,16,0.000000,0.000000
5407,43,292,2266,0.128861,0.005127
6084,50,305,2230,0.136771,0.005442
24090,358,2926,17034,0.171774,0.006835
5852,38,412,1185,0.347679,0.013834
1298,4,39,135,0.288889,0.011495
2372,9,98,190,0.515789,0.020523
7077,72,635,3028,0.209709,0.008344
15602,90,1653,3511,0.470806,0.018733
11754,143,874,6298,0.138774,0.005522
49274,1013,8253,48738,0.169334,0.006738
11010,73,1009,2032,0.496555,0.019757
724,1,9,64,0.140625,0.005595
617,1,16,16,1.000000,0.039789
7043,42,262,1678,0.156138,0.006213
65197,1323,9829,61241,0.160497,0.006386
12860,183,1423,7918,0.179717,0.007151
3808,21,216,460,0.469565,0.018683
2042,6,236,256,0.921875,0.036680
25461,327,2995,13631,0.219720,0.008742
102894,2464,17994,117206,0.153525,0.006109
437,2,2,58,0.034483,0.001372
5997,52,403,2789,0.144496,0.005749
17089,232,1589,11030,0.144062,0.005732
44063,865,6999,41954,0.166826,0.006638
58361,1237,8981,56207,0.159784,0.006358
1450,6,61,221,0.276018,0.010982
535,1,9,9,1.000000,0.039789
2341,12,164,711,0.230661,0.009178
72376,1433,13256,62137,0.213335,0.008488
53347,1082,7292,49627,0.146936,0.005846
9667,100,588,4144,0.141892,0.005646
2411,9,54,510,0.105882,0.004213
2429,8,53,338,0.156805,0.006239
157515,3822,29899,174369,0.171470,0.006823
109732,2708,21832,123748,0.176423,0.007020
149518,3577,27621,163796,0.168630,0.006710
2721,19,211,639,0.330203,0.013138
11847,157,1171,6940,0.168732,0.006714
7092,82,434,2971,0.146079,0.005812
7133,65,411,2650,0.155094,0.006171
2641,19,128,632,0.202532,0.008058
64129,1294,10569,55523,0.190354,0.007574
7141,45,595,1627,0.365704,0.014551
62753,1295,10898,58074,0.187657,0.007467
1215,2,4,72,0.055556,0.002210
611,1,9,9,1.000000,0.039789
5069,28,493,1052,0.468631,0.018646
9570,60,1088,2415,0.450518,0.017926
60482,1146,8236,54458,0.151236,0.006017
23727,378,2851,16639,0.171344,0.006818
28246,483,3831,22585,0.169626,0.006749
4525,33,234,1794,0.130435,0.005190
28067,483,3764,22860,0.164654,0.006551
2325,11,78,506,0.154150,0.006133
1286,1,25,25,1.000000,0.039789
4580,26,475,674,0.704748,0.028041
102603,2446,18300,111650,0.163905,0.006522
19712,260,2308,10573,0.218292,0.008686
25844,459,3407,20399,0.167018,0.006645
280,1,16,16,1.000000,0.039789
828,2,10,90,0.111111,0.004421
19491,276,2298,12837,0.179014,0.007123
7659,89,569,3438,0.165503,0.006585
34030,571,4345,26067,0.166686,0.006632
3661,21,191,819,0.233211,0.009279
74,1,0,9,0.000000,0.000000
1325,5,91,251,0.362550,0.014425
42256,800,5827,37916,0.153682,0.006115
6831,49,476,1528,0.311518,0.012395
3045,15,124,624,0.198718,0.007907
1462,2,41,41,1.000000,0.039789
12105,128,1216,6529,0.186246,0.007410
2880,17,224,492,0.455285,0.018115
1613,5,70,210,0.333333,0.013263
33365,537,4082,24605,0.165901,0.006601
10109,76,755,2833,0.266502,0.010604
3594,20,200,819,0.244200,0.009716
129767,3213,24405,150862,0.161770,0.006437
7303,61,386,2519,0.153235,0.006097
6707,52,486,1843,0.263700,0.010492
19616,304,2628,14409,0.182386,0.007257
2510,8,33,225,0.146667,0.005836
2271,7,70,293,0.238908,0.009506
12172,134,1030,6363,0.161873,0.006441
5707,66,447,2302,0.194179,0.007726
28552,494,3497,22357,0.156416,0.006224
775,3,11,171,0.064327,0.002560
11130,109,1182,5471,0.216048,0.008596
4393,27,292,1104,0.264493,0.010524
36107,677,4895,32103,0.152478,0.006067
578,1,4,36,0.111111,0.004421
1298,4,19,66,0.287879,0.011454
24972,404,3170,19359,0.163748,0.006515
41984,817,6625,35026,0.189145,0.007526
356,1,25,25,1.000000,0.039789
80931,1663,13790,73755,0.186970,0.007439
7184,87,531,4211,0.126098,0.005017
1531,4,18,86,0.209302,0.008328
4363,18,391,691,0.565847,0.022514
4431,36,337,1627,0.207130,0.008241
25325,319,2829,12702,0.222721,0.008862
2427,8,18,350,0.051429,0.002046
1429,5,31,167,0.185629,0.007386
32228,612,4332,26467,0.163676,0.006512
1006,1,0,25,0.000000,0.000000
2510,9,70,403,0.173697,0.006911
11838,110,818,4510,0.181375,0.007217
10997,129,972,5062,0.192019,0.007640
6319,53,500,2812,0.177809,0.007075
2560,16,138,629,0.219396,0.008729
186128,4845,35782,223582,0.160040,0.006368
13917,196,1561,9254,0.168684,0.006712
38065,723,5235,32498,0.161087,0.006409
33398,597,4248,27058,0.156996,0.006247
787,1,1,225,0.004444,0.000177
149335,3485,28006,153163,0.182851,0.007275
1955,2,20,32,0.625000,0.024868
1417,4,7,91,0.076923,0.003061
708,1,16,16,1.000000,0.039789
4923,30,169,1219,0.138638,0.005516
41291,687,5888,30499,0.193056,0.007681
7065,84,608,3743,0.162437,0.006463
843,4,30,134,0.223881,0.008908
13486,148,1352,6747,0.200385,0.007973
25457,319,2920,13361,0.218547,0.008696
5188,30,241,1335,0.180524,0.007183
1722,5,24,104,0.230769,0.009182
2183,13,171,543,0.314917,0.012530
65461,1378,10239,63116,0.162225,0.006455
492,1,9,25,0.360000,0.014324
649,3,14,50,0.280000,0.011141
37974,551,5131,23816,0.215443,0.008572
6446,53,497,2039,0.243747,0.009698
12481,145,1174,5956,0.197112,0.007843
3333,19,210,533,0.393996,0.015677
52990,1081,8106,48159,0.168317,0.006697
4101,35,248,1587,0.156270,0.006218
6011,57,386,2635,0.146490,0.005829
58038,1234,9077,56410,0.160911,0.006402
712,1,1,49,0.020408,0.000812
1274,2,18,18,1.000000,0.039789
2671,10,55,435,0.126437,0.005031
2043,3,21,41,0.512195,0.020380
3212,19,220,1069,0.205800,0.008189
7599,39,680,1009,0.673935,0.026815
12519,114,1312,4447,0.295030,0.011739
2383,9,53,329,0.161094,0.006410
43377,904,7011,41584,0.168598,0.006708
236,1,9,9,1.000000,0.039789
87265,2028,14944,93917,0.159119,0.006331
9708,64,546,2678,0.203883,0.008112
1264,3,10,125,0.080000,0.003183
6989,79,593,3257,0.182069,0.007244
16492,263,1916,11294,0.169648,0.006750
21584,358,2345,15671,0.149639,0.005954
2422,12,110,267,0.411985,0.016392
23376,347,2911,17525,0.166106,0.006609
17674,286,2185,11768,0.185673,0.007388
495,2,41,41,1.000000,0.039789
12841,188,1369,8938,0.153166,0.006094
33527,602,5315,27480,0.193413,0.007696
213480,5340,42177,237754,0.177398,0.007058
3136,24,162,1592,0.101759,0.004049
321,1,9,9,1.000000,0.039789
6532,57,498,2512,0.198248,0.007888
5868,31,437,1105,0.395475,0.015735
1037,3,34,166,0.204819,0.008150
4406,30,337,1070,0.314953,0.012532
726,1,9,9,1.000000,0.039789
42941,845,6358,39589,0.160600,0.006390
162902,4222,31399,194330,0.161576,0.006429
46366,793,6377,34092,0.187053,0.007443
63258,1381,10645,61797,0.172258,0.006854
8014,48,705,1807,0.390149,0.015524
66512,1431,11008,66484,0.165574,0.006588
6607,28,500,883,0.566251,0.022530
86967,1608,12794,69732,0.183474,0.007300
6609,67,751,3390,0.221534,0.008815
577,1,9,25,0.360000,0.014324
7911,74,619,3604,0.171754,0.006834
11119,137,1028,6080,0.169079,0.006727
31129,570,4166,25594,0.162773,0.006477
614,1,9,9,1.000000,0.039789
11940,157,1200,6354,0.188857,0.007514
109670,2150,20420,87944,0.232193,0.009239
2461,21,181,853,0.212192,0.008443
1714,7,105,213,0.492958,0.019614
43372,820,6312,38788,0.162731,0.006475
971,2,17,41,0.414634,0.016498
65566,1204,9517,53151,0.179056,0.007124
21410,340,2571,15453,0.166375,0.006620
15856,241,1741,11563,0.150566,0.005991
1257,2,5,65,0.076923,0.003061
795,4,12,140,0.085714,0.003410
1110,3,54,126,0.428571,0.017052
68531,1269,10755,53480,0.201103,0.008002
25074,346,2873,14824,0.193807,0.007711
2131,7,69,345,0.200000,0.007958
46423,937,8275,42892,0.192926,0.007676
3998,33,217,1641,0.132236,0.005262
9033,88,842,3934,0.214032,0.008516
1989,9,58,363,0.159780,0.006357
2570,18,148,828,0.178744,0.007112
13960,188,1136,8104,0.140178,0.005577
898,2,1,25,0.040000,0.001592
4310,29,171,1465,0.116724,0.004644
4635,34,248,1416,0.175141,0.006969
72877,1188,10481,47271,0.221722,0.008822
22830,371,2432,17190,0.141478,0.005629
19620,247,1844,12274,0.150236,0.005978
3482,20,73,953,0.076600,0.003048
30232,570,4387,26423,0.166030,0.006606
3816,28,159,1302,0.122120,0.004859
6532,61,512,2911,0.175885,0.006998
3794,20,140,920,0.152174,0.006055
8685,62,858,2272,0.377641,0.015026
83194,1840,13847,82894,0.167045,0.006646
1454,6,41,480,0.085417,0.003399
1755,5,53,289,0.183391,0.007297
11611,146,1073,6085,0.176335,0.007016
750,1,49,49,1.000000,0.039789
577,1,25,25,1.000000,0.039789
65416,1464,10878,67797,0.160450,0.006384
3862,27,292,1028,0.284047,0.011302
5602,23,371,595,0.623529,0.024809
2339,10,125,268,0.466418,0.018558
4582,23,187,933,0.200429,0.007975
1507,7,50,230,0.217391,0.008650
5962,47,379,2285,0.165864,0.006600
7008,90,637,4059,0.156935,0.006244
1309,1,9,9,1.000000,0.039789
3416,25,216,1007,0.214499,0.008535
117407,2765,21561,124771,0.172805,0.006876
7513,76,535,3601,0.148570,0.005911
840,2,37,116,0.318966,0.012691
22299,252,2804,9937,0.282178,0.011227
38594,730,5584,33268,0.167849,0.006678
12631,117,1002,4415,0.226954,0.009030
29223,554,4408,28771,0.153210,0.006096
17102,234,1613,10670,0.151172,0.006015
14812,219,1432,10289,0.139178,0.005538
111932,2348,19328,104172,0.185539,0.007382
19012,286,2321,13093,0.177270,0.007053
35650,656,4547,29961,0.151764,0.006038
9766,103,773,4653,0.166129,0.006610
23936,298,2650,11394,0.232579,0.009254
11537,130,1346,6630,0.203017,0.008078
40346,656,5229,28901,0.180928,0.007199
735,1,9,64,0.140625,0.005595
56298,1163,8391,51557,0.162752,0.006476
1708,6,48,272,0.176471,0.007022
125695,3000,22498,139336,0.161466,0.006425
8402,90,678,4371,0.155113,0.006172
4121,13,151,398,0.379397,0.015096
7267,77,434,3881,0.111827,0.004449
3666,17,517,728,0.710165,0.028257
4079,45,392,1791,0.218872,0.008709
67294,1334,10198,60481,0.168615,0.006709
4080,15,259,411,0.630170,0.025074
45180,903,6408,39987,0.160252,0.006376
1074,3,34,34,1.000000,0.039789
236728,6329,48390,291334,0.166098,0.006609
126,1,16,16,1.000000,0.039789
1913,6,87,134,0.649254,0.025833
1342,3,14,122,0.114754,0.004566
1651,4,74,142,0.521127,0.020735
13050,190,1437,8837,0.162612,0.006470
2187,10,331,359,0.922006,0.036685
3950,28,274,1039,0.263715,0.010493
1267,2,1,61,0.016393,0.000652
2183,12,109,414,0.263285,0.010476
6465,42,713,1485,0.480135,0.019104
4055,31,309,1281,0.241218,0.009598
53456,1159,8691,51573,0.168518,0.006705
60836,1225,8689,57342,0.151529,0.006029
3778,31,293,1709,0.171445,0.006822
23280,336,3129,13894,0.225205,0.008961
20803,280,2264,12076,0.187479,0.007460
1759,3,2,110,0.018182,0.000723
108905,2590,20652,119785,0.172409,0.006860
1182,3,35,83,0.421687,0.016778
28304,496,3908,23614,0.165495,0.006585
10538,142,1241,7057,0.175854,0.006997
1007,1,9,9,1.000000,0.039789
4591,29,205,1342,0.152757,0.006078
1941,16,289,546,0.529304,0.021060
1283,3,11,171,0.064327,0.002560
27364,480,3430,22644,0.151475,0.006027
27803,374,5404,13279,0.406958,0.016192
4961,34,283,1225,0.231020,0.009192
15320,244,1938,11619,0.166796,0.006637
22470,217,2563,8568,0.299136,0.011902
30932,542,3889,26476,0.146888,0.005844
163753,3786,32175,166587,0.193142,0.007685
230567,5987,47376,276467,0.171362,0.006818
628,1,49,49,1.000000,0.039789
44806,813,6309,35517,0.177633,0.007068
12992,91,1552,2960,0.524324,0.020862
6934,42,952,1687,0.564315,0.022453
1676,6,163,183,0.890710,0.035440
469,1,9,9,1.000000,0.039789
1554,5,29,228,0.127193,0.005061
3900,32,194,1037,0.187078,0.007444
18792,293,1839,12427,0.147984,0.005888
1864,7,135,319,0.423197,0.016838
145836,3551,28040,163992,0.170984,0.006803
630,1,0,9,0.000000,0.000000
61584,1283,10578,57945,0.182552,0.007264
6870,78,641,3252,0.197109,0.007843
4760,16,156,798,0.195489,0.007778
49644,993,7504,46554,0.161189,0.006414
4826,31,422,1324,0.318731,0.012682
4104,16,199,420,0.473810,0.018852
1645,3,29,97,0.298969,0.011896
3176,18,177,823,0.215067,0.008557
359,1,49,49,1.000000,0.039789
2733,10,50,329,0.151976,0.006047
4491,24,130,1344,0.096726,0.003849
7687,46,423,1435,0.294774,0.011729
10648,85,876,3158,0.277391,0.011037
727,4,10,126,0.079365,0.003158
10726,128,743,5491,0.135312,0.005384
20064,217,2198,8178,0.268770,0.010694
1694,3,17,105,0.161905,0.006442
39630,452,4580,18648,0.245603,0.009772
101496,2394,17453,110632,0.157757,0.006277
4939,35,240,1660,0.144578,0.005753
15160,183,1553,7680,0.202214,0.008046
11800,141,1054,7202,0.146348,0.005823
6186,48,542,2574,0.210567,0.008378
29820,525,4322,23727,0.182155,0.007248
44083,831,6620,38215,0.173230,0.006893
25339,409,3405,18744,0.181658,0.007228
72162,1624,11929,73196,0.162973,0.006485
50988,1057,8118,47979,0.169199,0.006732
9787,86,822,4018,0.204579,0.008140
12938,170,1182,6937,0.170391,0.006780
4859,43,425,2529,0.168051,0.006687
7533,48,467,1737,0.268854,0.010697
66018,1364,10568,61776,0.171070,0.006807
12691,100,1366,3137,0.435448,0.017326
2898,16,197,628,0.313694,0.012481
4979,27,421,572,0.736014,0.029285
5286,31,452,678,0.666667,0.026526
5914,42,458,1795,0.255153,0.010152
1107,6,69,277,0.249097,0.009911
2400,5,158,193,0.818653,0.032573
1012,4,10,242,0.041322,0.001644
10156,131,1047,6130,0.170799,0.006796
1843,4,24,93,0.258065,0.010268
17379,230,2056,10539,0.195085,0.007762
9755,130,948,5829,0.162635,0.006471
62360,1358,10746,61742,0.174047,0.006925
65520,1421,10579,65793,0.160792,0.006398
1510,4,9,93,0.096774,0.003851
1580,7,23,251,0.091633,0.003646
2398,13,10,350,0.028571,0.001137
5746,58,371,2068,0.179400,0.007138
1036,1,9,121,0.074380,0.002959
3751,20,282,374,0.754011,0.030001
5013,42,332,1878,0.176784,0.007034
796,2,45,80,0.562500,0.022381
5133,29,599,816,0.734069,0.029208
4670,21,304,552,0.550725,0.021913
92448,2112,15316,99709,0.153607,0.006112
14058,207,1493,8901,0.167734,0.006674
11527,130,1165,5322,0.218903,0.008710
28806,441,3370,20259,0.166346,0.006619
1476,6,20,333,0.060060,0.002390
41197,765,5949,35585,0.167177,0.006652
3404,12,202,430,0.469767,0.018691
84456,1917,14110,88255,0.159878,0.006361
15358,213,1482,9869,0.150167,0.005975
507,1,49,81,0.604938,0.024070
1070,5,31,207,0.149758,0.005959
29902,500,3998,22993,0.173879,0.006918
6407,30,434,703,0.617354,0.024564
8296,97,747,4267,0.175064,0.006966
86,1,25,25,1.000000,0.039789
5199,43,321,1861,0.172488,0.006863
10613,125,867,6209,0.139636,0.005556
85189,1785,14420,80551,0.179017,0.007123
5097,31,218,1988,0.109658,0.004363
41875,815,5686,39196,0.145066,0.005772
3482,27,173,1021,0.169442,0.006742
5802,57,528,2460,0.214634,0.008540
23088,403,2966,18023,0.164567,0.006548
9482,87,928,3165,0.293207,0.011666
51055,1024,7271,48287,0.150579,0.005991
17051,219,1862,8405,0.221535,0.008815
917,1,1,25,0.040000,0.001592
556,2,13,85,0.152941,0.006085
29413,457,3546,21469,0.165168,0.006572
12463,141,1060,6988,0.151689,0.006035
4069,35,224,1387,0.161500,0.006426
852,1,16,16,1.000000,0.039789
7548,68,495,3169,0.156201,0.006215
1138,3,27,166,0.162651,0.006472
2664,14,60,417,0.143885,0.005725
635,1,16,16,1.000000,0.039789
12539,148,1040,6351,0.163754,0.006516
1028,3,35,99,0.353535,0.014067
75899,1642,12130,78496,0.154530,0.006149
13062,158,1102,6798,0.162107,0.006450
15168,238,1842,10427,0.176657,0.007029
1913,4,104,149,0.697987,0.027772
42402,792,6640,35917,0.184871,0.007356
5748,53,461,2237,0.206080,0.008200
28512,465,3346,21173,0.158031,0.006288
45917,721,5804,29264,0.198332,0.007891
60552,1266,8958,58030,0.154368,0.006142
12378,144,1361,5818,0.233929,0.009308
38068,710,5077,33434,0.151851,0.006042
617,1,64,64,1.000000,0.039789
2608,9,172,383,0.449086,0.017869
860,4,10,143,0.069930,0.002782
24732,324,2880,12776,0.225423,0.008969
24164,400,2722,17825,0.152707,0.006076
17178,289,2025,13100,0.154580,0.006151
1659,6,25,417,0.059952,0.002385
183,1,36,100,0.360000,0.014324
42643,850,6311,37602,0.167837,0.006678
15608,231,1649,10541,0.156437,0.006224
24913,315,2852,13326,0.214018,0.008515
17177,247,1810,10913,0.165857,0.006599
446,2,50,98,0.510204,0.020300
2697,21,139,780,0.178205,0.007091
17455,239,1950,10696,0.182311,0.007254
271,1,16,16,1.000000,0.039789
4315,28,301,1418,0.212271,0.008446
5838,37,510,1893,0.269414,0.010720
47587,977,7293,44266,0.164754,0.006555
2467,16,56,707,0.079208,0.003152
59423,1216,9819,54153,0.181320,0.007214
87016,2053,15331,93726,0.163573,0.006508
17435,266,2300,12462,0.184561,0.007343
3358,19,181,945,0.191534,0.007621
65537,1293,10770,57429,0.187536,0.007462
3064,9,46,438,0.105023,0.004179
13430,171,1763,7440,0.236962,0.009428
65854,1461,10330,65897,0.156760,0.006237
3749,15,281,504,0.557540,0.022184
1084,2,52,52,1.000000,0.039789
103243,2442,19118,110678,0.172735,0.006873
4213,30,169,1274,0.132653,0.005278
13812,192,1455,8515,0.170875,0.006799
9345,109,773,5582,0.138481,0.005510
945,1,1,9,0.111111,0.004421
