# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M4 Combinatorial RG Flow (Q_topo in Alexandrov intervals)
volume,n_prisms,local_phase_sq,local_mass_sq,local_q,local_alpha
62661,1303,9228,62152,0.148475,0.005908
4628,39,297,1364,0.217742,0.008664
12457,149,1185,6627,0.178814,0.007115
82396,1853,13595,85023,0.159898,0.006362
2419,8,80,201,0.398010,0.015836
63336,1314,9896,59947,0.165079,0.006568
795,2,8,157,0.050955,0.002027
4725,44,396,2194,0.180492,0.007182
17114,255,2113,10533,0.200608,0.007982
11564,135,840,6498,0.129271,0.005144
418,1,4,36,0.111111,0.004421
1280,3,30,142,0.211268,0.008406
32281,564,4274,26130,0.163567,0.006508
11691,124,962,4573,0.210365,0.008370
3482,17,130,662,0.196375,0.007813
4289,31,330,1620,0.203704,0.008105
39703,671,5467,27962,0.195515,0.007779
81735,1766,14041,81566,0.172143,0.006849
55955,1145,9317,50160,0.185746,0.007391
807,1,1,36,0.027778,0.001105
8275,94,713,3520,0.202557,0.008059
1774,11,70,434,0.161290,0.006418
2028,8,46,215,0.213953,0.008513
37333,524,5434,21942,0.247653,0.009854
93830,1766,13935,74866,0.186133,0.007406
7335,70,491,3297,0.148923,0.005925
2482,6,29,273,0.106227,0.004227
133,1,16,16,1.000000,0.039789
415,2,20,117,0.170940,0.006801
4073,22,112,816,0.137255,0.005461
1295,5,36,156,0.230769,0.009182
13270,106,1995,3017,0.661253,0.026310
878,3,22,34,0.647059,0.025746
782,5,60,68,0.882353,0.035108
83230,1976,15209,92818,0.163858,0.006520
1243,4,10,126,0.079365,0.003158
4934,34,272,1829,0.148715,0.005917
12889,186,1309,8274,0.158206,0.006295
19299,275,2042,12670,0.161168,0.006413
730,1,0,16,0.000000,0.000000
1311,1,0,16,0.000000,0.000000
83549,1678,12801,75279,0.170047,0.006766
1530,5,157,164,0.957317,0.038090
2462,12,34,538,0.063197,0.002515
1956,6,148,184,0.804348,0.032004
1746,4,34,198,0.171717,0.006832
3085,21,164,909,0.180418,0.007179
33010,512,3746,23868,0.156947,0.006245
365,1,9,9,1.000000,0.039789
5389,39,274,1891,0.144897,0.005765
