# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T06:28:05Z
# N: 10000000  M: 17 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,6564405
max_intermediates,30
count_gen1,63197
count_gen2,2552805
count_gen3,390904
count_antigen1,239504
count_sterile,400759
avg_mass_gen1,4.5550
avg_mass_gen2,6.5316
avg_mass_gen3,7.7307
avg_mass_sterile,6.1899
visible_mass_total,15580191
dark_mass_total,26479997
grav_mass_total,42060188
omega_ratio,1.699594
phase_sq_total,59618897
mass_sq_total,312679488
q_topo,0.19067096
alpha_em,0.00758656
omega_energy,4.24463725
phase_pos_count,19151830
phase_zero_count,826069
phase_neg_count,22082289
prisms_gen1,46750
prisms_gen2,299218
prisms_gen3,40172
