# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T20:23:41Z
# N: 10000000  M: 4 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.003382222222221e-1,1.9470,4.997552222222222e-1,1.9479,4.998082222222222e-1,1.9573,4.998076666666667e-1,1.9572,4.997998888888889e-1,1.9572,4.997985555555555e-1,1.9549,2.7417702899034883e-2,4.403599568434512e-2,1.1456973329386609e-7,6.979429493629265e-7,4.998015555555556e-1,1.9573,4.55,6.54,7.73,4.45,0.001884,0.005577,0.000261,0.000285,0.000297,0.000329,0.000310,5.245400855181849e-4,4.345712693431718e-4
2,2.548056666666667e-1,2.4273,2.544277777777778e-1,2.4287,2.536341111111111e-1,2.4381,2.536365555555556e-1,2.4378,2.536330000000000e-1,2.4370,2.538362222222222e-1,2.4331,4.540408205366066e-2,7.144424199649722e-3,1.897413951975373e-7,1.1320035002402986e-7,2.536257777777778e-1,2.4376,4.55,6.54,7.73,4.45,0.002215,0.003865,0.000766,0.000237,0.000382,0.000475,0.000772,1.010858418354976e-3,3.544155606791694e-4
3,1.318865555555556e-1,3.7515,1.316354444444444e-1,3.7537,1.309660000000000e-1,3.7653,1.309940000000000e-1,3.7636,1.310433333333333e-1,3.7626,1.313237777777778e-1,3.7529,6.707629414917066e-2,6.415534685308976e-3,2.803100253644383e-7,1.0171240689587511e-7,1.310027777777778e-1,3.7633,4.55,6.54,7.73,4.45,0.004697,0.006733,0.001511,0.001856,0.001518,0.001510,0.001896,1.281809441849415e-3,8.167498277825822e-5
4,6.942999999999999e-2,4.9497,6.927411111111112e-2,4.9507,6.878122222222222e-2,4.9839,6.882411111111110e-2,4.9781,6.884700000000001e-2,4.9815,6.913244444444444e-2,4.9578,8.818319787046253e-2,5.687939649400643e-3,3.685107551812373e-7,9.013785109036746e-8,6.882722222222222e-2,4.9815,4.55,6.54,7.73,4.45,0.008582,0.012117,0.002135,0.005375,0.003819,0.004393,0.003109,1.407308875250499e-3,1.8165849106158253e-4
5,3.725255555555556e-2,6.0419,3.717255555555555e-2,6.0571,3.667111111111111e-2,6.1065,3.673366666666667e-2,6.1016,3.671544444444444e-2,6.1104,3.701677777777778e-2,6.0783,1.0106154399465919e-1,5.169557160447929e-3,4.223118065499444e-7,8.193137282534084e-8,3.670400000000000e-2,6.1139,4.55,6.54,7.73,4.45,0.015504,0.028227,0.005768,0.008803,0.011104,0.006769,0.001840,1.9497479373478874e-3,3.9709712404429644e-4
6,2.039777777777778e-2,7.0532,2.028944444444445e-2,7.0521,1.994433333333333e-2,7.1473,1.997666666666667e-2,7.1238,1.994744444444444e-2,7.1294,2.016122222222222e-2,7.0949,1.0569592020363472e-1,4.734926424439521e-3,4.416813647474574e-7,7.506065011931233e-8,1.992755555555555e-2,7.1520,4.55,6.54,7.73,4.45,0.028046,0.012411,0.019401,0.014856,0.010189,0.014425,0.016648,1.6049490897384062e-3,1.2636131943014628e-4
7,1.137155555555556e-2,7.9056,1.134922222222222e-2,7.8307,1.101833333333333e-2,8.0214,1.108077777777778e-2,7.9396,1.106477777777778e-2,7.9804,1.122055555555555e-2,7.8920,1.0383156223661671e-1,4.296268107250237e-3,4.338686830668393e-7,6.812530813192323e-8,1.101944444444444e-2,7.9819,4.55,6.54,7.73,4.45,0.036905,0.028756,0.033316,0.025904,0.025828,0.021672,0.013573,1.4691420327242128e-3,2.6415304856226444e-4
8,6.542222222222222e-3,8.4878,6.578000000000000e-3,8.4855,6.291111111111112e-3,8.6038,6.375888888888889e-3,8.5526,6.329333333333334e-3,8.5455,6.479000000000000e-3,8.4922,9.783882644482388e-2,3.63182088377684e-3,4.0885627191245565e-7,5.754794317312907e-8,6.321666666666667e-3,8.5704,4.55,6.54,7.73,4.45,0.032445,0.042786,0.060554,0.084016,0.043142,0.030217,0.039436,1.516924571061353e-3,1.6261421010845104e-4
9,3.914000000000000e-3,8.8918,3.907444444444445e-3,8.9745,3.737555555555556e-3,8.9681,3.783000000000000e-3,9.0422,3.780888888888889e-3,8.9581,3.859888888888889e-3,8.9634,9.118708404042952e-2,3.4650644494790325e-3,3.810302438647697e-7,5.489907187897746e-8,3.753666666666666e-3,8.9759,4.55,6.54,7.73,4.45,0.077452,0.101723,0.052440,0.110117,0.046115,0.066822,0.041872,1.3684687301749687e-3,1.5823495950958633e-4
10,2.425888888888889e-3,9.0804,2.416777777777778e-3,9.1166,2.313000000000000e-3,9.1963,2.324888888888889e-3,9.2307,2.329666666666667e-3,9.2229,2.383333333333333e-3,9.1435,8.447567796250514e-2,2.806656733452806e-3,3.5297113915513183e-7,4.451452635730201e-8,2.322222222222222e-3,9.2452,4.55,6.54,7.73,4.45,0.162160,0.120796,0.117854,0.085512,0.136831,0.117399,0.065135,1.743400959960735e-3,2.021576794248961e-4
