# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T20:23:41Z
# N: 10000000  M: 4 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
key,value
total_nodes,10000000
total_prisms,1543943
max_intermediates,30
count_gen1,63098
count_gen2,2553809
count_gen3,389822
count_antigen1,239312
count_sterile,401549
avg_mass_gen1,4.5531
avg_mass_gen2,6.5355
avg_mass_gen3,7.7265
avg_mass_sterile,6.1904
visible_mass_total,3661238
dark_mass_total,6235047
grav_mass_total,9896285
omega_ratio,1.702989
phase_sq_total,13999342
mass_sq_total,73596393
q_topo,0.19021777
alpha_em,0.00756852
omega_energy,4.25713230
phase_pos_count,4507270
phase_zero_count,193881
phase_neg_count,5195134
prisms_gen1,46707
prisms_gen2,299199
prisms_gen3,40078
