# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T22:17:45Z
# N: 10000000  M: 8 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.001730555555555e-1,1.9481,4.999098888888889e-1,1.9481,4.998077222222222e-1,1.9575,4.998071111111111e-1,1.9571,4.997996111111112e-1,1.9571,4.997983888888888e-1,1.9552,2.7786445083823903e-2,4.4065840850135575e-2,1.1588002180100949e-7,6.973603972300909e-7,4.998016111111112e-1,1.9573,4.55,6.53,7.73,4.45,0.003149,0.004006,0.000301,0.000278,0.000369,0.000432,0.000312,6.436574822321089e-4,7.00115801093798e-4
2,2.546284444444444e-1,2.4279,2.544943333333334e-1,2.4292,2.536148333333333e-1,2.4379,2.536461666666667e-1,2.4377,2.536450555555556e-1,2.4370,2.538122777777777e-1,2.4333,4.571372473616983e-2,7.2848278416077e-3,1.9065175603691342e-7,1.1525656412762332e-7,2.536291666666667e-1,2.4375,4.55,6.53,7.73,4.45,0.003602,0.002970,0.001004,0.000587,0.000395,0.000676,0.000708,8.561649040665377e-4,3.1566657670354043e-4
3,1.318012222222222e-1,3.7507,1.316399444444444e-1,3.7546,1.309808333333333e-1,3.7637,1.309947222222222e-1,3.7643,1.310482222222222e-1,3.7617,1.313097777777777e-1,3.7545,6.771063964011255e-2,6.315431479034012e-3,2.8239467387647643e-7,9.994430977700472e-8,1.310110000000000e-1,3.7636,4.55,6.53,7.73,4.45,0.007137,0.005285,0.002255,0.002651,0.001679,0.001917,0.001529,1.4301712165039715e-3,2.486425215835072e-4
4,6.940111111111111e-2,4.9540,6.927216666666668e-2,4.9565,6.881361111111110e-2,4.9826,6.880972222222222e-2,4.9796,6.887105555555556e-2,4.9772,6.908866666666666e-2,4.9635,8.891209301229555e-2,5.6268687792874975e-3,3.7081267234856277e-7,8.90429245901258e-8,6.882011111111111e-2,4.9821,4.55,6.53,7.73,4.45,0.009213,0.013023,0.003295,0.006149,0.006654,0.006674,0.004418,1.304914859038941e-3,2.1217639907312156e-4
5,3.718805555555556e-2,6.0501,3.711861111111110e-2,6.0567,3.668761111111112e-2,6.1088,3.671950000000000e-2,6.1032,3.675694444444444e-2,6.1021,3.695922222222222e-2,6.0810,1.017549307915646e-1,5.121423488194299e-3,4.243668793252544e-7,8.105858658035637e-8,3.670033333333333e-2,6.1086,4.55,6.53,7.73,4.45,0.017573,0.020809,0.005818,0.009183,0.012602,0.007749,0.008015,1.7146193827286811e-3,3.344260612361592e-4
6,2.035538888888889e-2,7.0417,2.029061111111111e-2,7.0382,1.994455555555556e-2,7.1414,1.996588888888889e-2,7.1332,1.998811111111111e-2,7.1279,2.013727777777778e-2,7.0973,1.0579709430961927e-1,4.598819050380194e-3,4.4122965678440906e-7,7.278136686090436e-8,1.994727777777778e-2,7.1420,4.55,6.53,7.73,4.45,0.026162,0.021045,0.020694,0.014319,0.012295,0.011902,0.017454,1.6309417579619706e-3,1.8431696363410176e-4
7,1.137388888888889e-2,7.8894,1.135938888888889e-2,7.8309,1.103411111111111e-2,7.9814,1.105900000000000e-2,7.9442,1.108016666666667e-2,7.9590,1.119861111111111e-2,7.8947,1.0391474450459391e-1,4.341772103648505e-3,4.3336365954272603e-7,6.871462424707028e-8,1.103683333333333e-2,7.9812,4.55,6.53,7.73,4.45,0.036341,0.048116,0.062349,0.021585,0.038040,0.018020,0.017667,1.674442014940386e-3,2.930877034313451e-4
8,6.543888888888889e-3,8.5151,6.578111111111111e-3,8.4959,6.327444444444445e-3,8.5592,6.368277777777778e-3,8.5214,6.361777777777779e-3,8.5364,6.468777777777778e-3,8.4930,9.822778290489638e-2,3.781348468854009e-3,4.0966151916916337e-7,5.98344672616624e-8,6.328555555555556e-3,8.5612,4.55,6.53,7.73,4.45,0.036813,0.061230,0.070416,0.067819,0.054053,0.033220,0.042562,1.5042056249260087e-3,2.1026738619088777e-4
9,3.901388888888889e-3,8.8826,3.905833333333334e-3,8.9779,3.763944444444444e-3,8.9719,3.790388888888889e-3,8.9715,3.790500000000000e-3,8.9969,3.851944444444445e-3,9.0031,9.168673668718334e-2,3.4427615012590186e-3,3.82364038765629e-7,5.4470706071026264e-8,3.763944444444444e-3,8.9610,4.55,6.53,7.73,4.45,0.058189,0.110068,0.081916,0.118983,0.067359,0.082381,0.048907,1.8044452451348534e-3,1.457023624867365e-4
10,2.429000000000000e-3,9.0394,2.415888888888889e-3,9.1008,2.325388888888889e-3,9.1807,2.340500000000000e-3,9.1923,2.331500000000000e-3,9.2423,2.369055555555555e-3,9.2211,8.518309617438292e-2,2.9842894521964836e-3,3.5523112812984184e-7,4.725295649397599e-8,2.328611111111111e-3,9.2661,4.55,6.53,7.73,4.45,0.125606,0.107717,0.101377,0.122935,0.124495,0.131761,0.082517,1.8008679193216278e-3,3.000179905438173e-4
