# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-24T19:28:43Z
# N: 10000000  M: 2 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.003428888888889e-1,1.9463,4.997508888888889e-1,1.9461,4.998086666666667e-1,1.9573,4.998077777777777e-1,1.9575,4.997997777777778e-1,1.9570,4.997988888888889e-1,1.9550,2.7566375647039808e-2,4.424677120144274e-2,1.1551918199503998e-7,6.949882273206613e-7,4.998013333333333e-1,1.9573,4.56,6.54,7.73,4.45,0.001985,0.005336,0.000307,0.000097,0.000054,0.000332,0.000410,2.642805523214546e-4,7.012755655499622e-5
2,2.548720000000000e-1,2.4260,2.545828888888889e-1,2.4280,2.536313333333333e-1,2.4387,2.536137777777778e-1,2.4377,2.536535555555556e-1,2.4372,2.538255555555555e-1,2.4330,4.63913893757055e-2,7.115686108323627e-3,1.9441115634809932e-7,1.1177289160228442e-7,2.536280000000000e-1,2.4370,4.56,6.54,7.73,4.45,0.001424,0.000721,0.000344,0.000021,0.000357,0.000136,0.000605,3.024419412556191e-4,2.3135540954053856e-4
3,1.319866666666667e-1,3.7471,1.316824444444444e-1,3.7571,1.309282222222222e-1,3.7662,1.309993333333333e-1,3.7624,1.310306666666667e-1,3.7634,1.313346666666667e-1,3.7531,6.834181947648421e-2,6.369129373891626e-3,2.864067364214921e-7,1.0003924567157857e-7,1.310471111111111e-1,3.7635,4.56,6.54,7.73,4.45,0.002290,0.000333,0.000968,0.001670,0.000338,0.002072,0.002413,1.5715004981253083e-4,6.042777075772766e-5
4,6.955400000000000e-2,4.9441,6.923533333333334e-2,4.9585,6.875844444444444e-2,4.9852,6.884511111111111e-2,4.9805,6.883200000000000e-2,4.9807,6.912466666666667e-2,4.9558,8.9185060945119e-2,5.835415535596543e-3,3.737592817235232e-7,9.166127236676296e-8,6.882333333333333e-2,4.9836,4.56,6.54,7.73,4.45,0.000635,0.010493,0.002325,0.004670,0.005083,0.001893,0.001159,1.1217172168403317e-4,1.429051855777251e-4
5,3.733422222222223e-2,6.0426,3.711155555555555e-2,6.0732,3.664822222222222e-2,6.1057,3.671222222222222e-2,6.1093,3.671911111111111e-2,6.1008,3.703933333333333e-2,6.0736,1.0240465059244888e-1,5.2845784273057245e-3,4.291229132588876e-7,8.299209748594035e-8,3.669688888888889e-2,6.1151,4.56,6.54,7.73,4.45,0.019030,0.003624,0.006794,0.005056,0.006956,0.002695,0.000207,1.397876034676962e-3,5.333866962672273e-4
6,2.043133333333333e-2,7.0554,2.021200000000000e-2,7.0507,1.994111111111111e-2,7.1440,1.995133333333333e-2,7.1362,1.998200000000000e-2,7.1293,2.017822222222222e-2,7.0898,1.0682551362142134e-1,4.704552404642624e-3,4.476626748345319e-7,7.389940106806698e-8,1.992177777777778e-2,7.1528,4.56,6.54,7.73,4.45,0.034644,0.015375,0.006500,0.004673,0.007776,0.009311,0.013334,9.73048435120992e-4,1.7249870999954233e-4
7,1.139222222222222e-2,7.9269,1.133333333333333e-2,7.8083,1.101755555555555e-2,8.0073,1.105133333333333e-2,7.9161,1.106622222222222e-2,7.9727,1.123711111111111e-2,7.8754,1.0391286428106095e-1,4.170762701963253e-3,4.3543754477185313e-7,6.551904453902693e-8,1.101577777777778e-2,7.9841,4.56,6.54,7.73,4.45,0.019952,0.024616,0.042541,0.013336,0.028927,0.019104,0.018846,1.6044964476648882e-3,3.287102618679072e-4
8,6.532888888888888e-3,8.4901,6.574000000000000e-3,8.5032,6.302888888888889e-3,8.5518,6.389333333333334e-3,8.4841,6.347333333333333e-3,8.5181,6.500000000000001e-3,8.4640,9.77208392637571e-2,3.6285504489905417e-3,4.0955038463461146e-7,5.699745646639489e-8,6.317777777777778e-3,8.5680,4.56,6.54,7.73,4.45,0.035997,0.049767,0.002705,0.032107,0.036422,0.011217,0.028503,5.259302758238715e-4,1.314986361690639e-4
9,3.920000000000000e-3,8.9000,3.893333333333334e-3,8.9455,3.761777777777778e-3,8.9940,3.805555555555556e-3,8.9724,3.794444444444444e-3,8.9345,3.879333333333334e-3,8.9002,9.093050009626463e-2,3.620481932490545e-3,3.8103845728334585e-7,5.686734663585029e-8,3.753555555555556e-3,8.9490,4.56,6.54,7.73,4.45,0.024898,0.135221,0.050266,0.074374,0.028191,0.013791,0.043548,1.3244280852246007e-3,2.024653885066745e-6
10,2.420222222222222e-3,9.1776,2.423111111111111e-3,9.0628,2.310666666666667e-3,9.2958,2.348000000000000e-3,9.2229,2.342444444444444e-3,9.0959,2.408000000000000e-3,9.1434,8.300585861239718e-2,2.702006511367816e-3,3.478349020851148e-7,4.244684861769788e-8,2.327777777777778e-3,9.2920,4.56,6.54,7.73,4.45,0.138076,0.082152,0.088626,0.055608,0.049647,0.034003,0.063008,1.0682096348535869e-3,2.399565803679418e-4
