# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T04:13:44Z
# N: 10000000  M: 12 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
12,1.069667258110622e-3,8.5787,1.061200916551471e-3,8.0135,1.016044467815920e-3,8.5692,9.745867095141330e-4,9.2447,9.529423813200152e-4,8.5142,1.007706357521709e-3,8.6626,1.6484299130303956e-2,8.245874119776479e-3,6.882472330721856e-8,1.3062161001775286e-7,9.636414563929784e-4,11.0003,4.55,6.53,7.73,4.45,0.099709,2.075240,3.152768,2.317714,2.672627,2.692249,225.223235,3.624800783599553e-4,3.144755571534415e-4
13,7.649539591013040e-4,8.0464,7.791117487755138e-4,7.9492,7.506065206249520e-4,7.5201,7.070199421037644e-4,7.7354,6.798397805400308e-4,8.6371,7.270763009193342e-4,7.8616,1.6433782535705665e-2,8.151363218369399e-3,6.861184706513802e-8,1.2913530750498474e-7,6.696106111549518e-4,8.3665,4.55,6.53,7.73,4.45,0.166430,0.629871,2.875699,2.412584,2.747811,2.547583,2.622871,5.067008998172279e-4,2.8269843406034155e-4
14,5.753195743950099e-4,7.2055,5.750591677279592e-4,7.4712,5.691004257459305e-4,6.7551,5.368947879100089e-4,6.9131,4.897252291822073e-4,7.8854,5.497684976022804e-4,7.1280,1.6555582520796006e-2,8.138500426777438e-3,6.912058798508113e-8,1.2894403379988543e-7,5.056622945165565e-4,7.2679,4.55,6.53,7.73,4.45,0.196881,0.737202,3.740295,2.215484,2.515700,2.800083,2.430293,5.485963802736008e-4,3.162149808246369e-4
15,4.568074585935900e-4,6.4384,4.564991370998020e-4,6.1708,4.629171201974806e-4,5.9132,4.311350095265384e-4,6.3408,3.867002959477306e-4,6.2993,4.365997861937552e-4,6.2413,1.6578839752038273e-2,8.11354160346784e-3,6.921938012796311e-8,1.285580132437447e-7,3.980878557232969e-4,6.9917,4.55,6.53,7.73,4.45,0.175248,0.930975,2.998215,2.067614,2.406577,2.338246,2.425042,5.594861788502331e-4,2.928216817284751e-4
16,3.743022934585978e-4,5.9213,3.808770409882927e-4,6.1932,3.834684819734994e-4,5.1539,3.515848696378398e-4,7.8373,3.215874347997496e-4,4.8883,3.624164806070586e-4,5.5433,1.6712679591542833e-2,8.055946031149506e-3,6.977993753375928e-8,1.2765181751071188e-7,3.170513844425389e-4,5.8058,4.55,6.53,7.73,4.45,0.205192,1.555424,4.374789,293.687058,1.866020,2.134327,2.236831,4.009894096110484e-4,3.864053928127805e-4
17,3.153545570516759e-4,5.2923,3.098256026968565e-4,5.8557,3.352950286188050e-4,4.4392,2.639999104668660e-4,7.6995,2.847838693790945e-4,5.0501,3.086194524447647e-4,5.2778,1.698778598913667e-2,7.979798709088054e-3,7.092715998635329e-8,1.2643467079782105e-7,2.768107785056646e-4,5.1784,4.55,6.53,7.73,4.45,0.353081,1.916111,5.795306,312.281155,2.240586,2.697460,2.456684,4.139156197749792e-4,3.092000394079606e-4
18,2.740728089374702e-4,4.8683,2.697854735711482e-4,5.3685,2.952513729699886e-4,5.0000,2.234120589659287e-4,5.3540,2.388556539334037e-4,5.5171,2.655965338571688e-4,5.9320,1.7431024140158912e-2,8.019192721952787e-3,7.277546804496828e-8,1.2706109416137e-7,2.337145733052187e-4,5.1119,4.55,6.53,7.73,4.45,0.312514,2.202541,4.893982,1.758319,2.386646,4.072712,3.200024,6.633849992154442e-4,2.9475912213135637e-4
19,2.405574292613830e-4,4.5868,2.298557568722694e-4,4.1137,2.539011985049257e-4,5.6678,1.960161781014675e-4,4.5051,2.095391420093282e-4,4.6327,2.218965622429027e-4,6.0873,1.864037651965469e-2,8.021998417982104e-3,7.781866135457033e-8,1.2710996016838262e-7,2.083141018983327e-4,4.2491,4.55,6.53,7.73,4.45,0.387754,1.385824,6.376083,1.702039,1.783435,3.611439,1.895016,1.0759523931480254e-3,3.4021237450637383e-4
20,2.152417347173868e-4,4.2666,2.172208253869718e-4,2.8809,2.190377753556128e-4,9.0170,1.762116973195240e-4,3.9611,1.871307245655907e-4,5.2797,1.927312835642816e-4,3.8790,2.094719443858087e-2,7.839215495289579e-3,8.744667087081345e-8,1.2419799674087153e-7,1.868403870534635e-4,5.4819,4.55,6.53,7.73,4.45,0.365852,5.206865,7.329837,1.544524,2.490058,3.015391,3.303285,1.7229672921351968e-3,2.8688889183820345e-4
21,1.943092051931873e-4,4.0917,1.989965252000990e-4,5.0686,1.616957689044521e-4,7.1498,1.607704329115971e-4,4.5286,1.608878287317781e-4,5.2203,1.827466660683074e-4,4.5481,2.522041945823644e-2,7.622966052894992e-3,1.0528233388263841e-7,1.2078507795747315e-7,1.583364887887711e-4,5.9670,4.55,6.53,7.73,4.45,0.635945,2.983903,5.383949,1.643694,2.483009,4.016188,3.131537,2.691047822312764e-3,4.512113809832417e-4
