# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
12,1.073777777777778e-3,8.6537,1.074317460317460e-3,8.5376,1.006984126984127e-3,8.6945,1.016380952380952e-3,8.6757,1.015809523809524e-3,8.6439,1.039301587301587e-3,8.6866,7.129910238943812e-2,2.341840422194604e-3,2.978291588220278e-7,3.7094965500653535e-8,9.990158730158732e-4,8.6429,4.56,6.53,7.73,4.45,0.212079,0.307103,0.271721,0.172168,0.246936,0.222720,0.179662,1.4691210725663825e-3,1.9512092409181155e-4
13,7.653015873015873e-4,8.1016,7.703492063492062e-4,7.9720,7.240634920634921e-4,7.8678,7.279047619047621e-4,7.9128,7.299682539682540e-4,7.9398,7.423174603174603e-4,7.9072,6.576591313023963e-2,2.04479740704436e-3,2.7471749200468554e-7,3.2397658352719084e-8,7.238412698412697e-4,7.9240,4.56,6.53,7.73,4.45,0.459731,0.268102,0.316641,0.290546,0.193054,0.347670,0.415227,1.0556231718980493e-3,1.6896196031796916e-4
14,5.750793650793651e-4,7.2093,5.811428571428572e-4,7.1909,5.491111111111111e-4,7.3201,5.523174603174603e-4,7.1968,5.508571428571428e-4,7.1976,5.650158730158731e-4,7.0439,6.0546787921753956e-2,1.7959939431114898e-3,2.529122893406186e-7,2.8458114611578685e-8,5.424126984126984e-4,7.4855,4.56,6.53,7.73,4.45,0.403008,0.420412,0.335123,0.389360,0.509438,0.447027,0.369387,1.5978561991903649e-3,1.3281549852842215e-4
15,4.568888888888889e-4,6.2748,4.605079365079365e-4,6.6471,4.288571428571428e-4,6.6967,4.349523809523809e-4,6.7514,4.361587301587301e-4,6.5505,4.484444444444445e-4,6.3975,5.4802911395497124e-2,1.59622982862117e-3,2.289186445996595e-7,2.528339417117352e-8,4.236825396825396e-4,6.7160,4.56,6.53,7.73,4.45,0.532744,0.554044,0.444411,0.568970,0.594232,0.492052,0.443739,9.188967165208531e-4,1.9171028996057822e-4
16,3.782539682539683e-4,5.7413,3.728571428571429e-4,6.2292,3.511428571428572e-4,5.6779,3.519047619047619e-4,6.1312,3.557142857142857e-4,5.9595,3.686031746031746e-4,6.0592,4.967925445235853e-2,1.4497121178883062e-3,2.0750378404167364e-7,2.2971301577467754e-8,3.464126984126984e-4,5.9271,4.56,6.53,7.73,4.45,0.553083,0.642215,0.490013,0.716393,0.723495,0.702083,0.568889,1.456693760484178e-3,1.4547687690644217e-4
17,3.189841269841270e-4,5.2329,3.118412698412699e-4,5.4230,3.006031746031746e-4,5.5950,2.963492063492064e-4,5.3188,3.003809523809525e-4,5.7316,3.069206349206349e-4,5.6941,4.579197419348148e-2,1.1778519547227726e-3,1.9128428095443912e-7,1.8659603190534254e-8,2.923809523809523e-4,5.4460,4.56,6.53,7.73,4.45,0.522335,0.709864,0.818652,0.549097,0.960978,0.761904,1.058790,1.221466281889523e-3,1.3868686485142456e-4
18,2.779365079365080e-4,4.9642,2.709206349206349e-4,4.6184,2.525714285714286e-4,5.7564,2.572698412698412e-4,5.2276,2.538095238095238e-4,5.6596,2.635873015873015e-4,4.7950,4.106836578231558e-2,1.0370975515653965e-3,1.715494123167901e-7,1.6440675583720606e-8,2.513650793650794e-4,5.2342,4.56,6.53,7.73,4.45,0.809303,0.496656,0.706189,0.837685,1.000922,0.719762,0.899763,1.0294699241837789e-3,1.5303513078327463e-4
19,2.420317460317461e-4,5.0244,2.412063492063492e-4,4.2670,2.182539682539683e-4,4.7154,2.215873015873016e-4,5.0745,2.192698412698413e-4,4.4687,2.350793650793651e-4,4.2455,3.68923932002108e-2,8.978309171277715e-4,1.5409909566081393e-7,1.4232814698715337e-8,2.185396825396825e-4,5.0326,4.56,6.53,7.73,4.45,0.883456,0.627040,1.037939,0.703867,1.077835,0.822738,1.093512,9.705966598265212e-4,7.641810818970269e-5
20,2.133015873015873e-4,4.1865,2.163809523809524e-4,4.4342,1.970158730158730e-4,4.2028,1.969206349206349e-4,4.5776,2.005714285714286e-4,3.8908,2.107619047619048e-4,4.5166,3.308035457781588e-2,7.499892821114717e-4,1.3818587207505588e-7,1.1878772908405368e-8,1.928253968253968e-4,4.1967,4.56,6.53,7.73,4.45,0.925816,1.207940,0.873557,0.980343,1.131104,1.174438,1.122317,6.793518148238368e-4,1.3087101145045537e-4
21,1.962857142857143e-4,3.2717,1.932063492063492e-4,4.4825,1.768571428571429e-4,4.4965,1.762222222222222e-4,4.3610,1.804761904761905e-4,4.7257,1.875238095238095e-4,4.4632,2.9590082421794138e-2,6.301178140914344e-4,1.2359911084612776e-7,9.980613659104332e-9,1.771428571428571e-4,4.2263,4.56,6.53,7.73,4.45,1.131258,0.995203,0.596533,1.240649,1.441899,0.920809,1.221714,9.305203630002785e-4,1.1396641155369785e-4
22,1.825079365079365e-4,3.3133,1.747619047619047e-4,3.7355,1.590158730158730e-4,4.3784,1.599682539682539e-4,4.1171,1.601269841269841e-4,4.7228,1.703809523809524e-4,4.0597,2.6497954829988377e-2,5.343018641614662e-4,1.1068886209464047e-7,8.468483051066607e-9,1.576507936507936e-4,4.9353,4.56,6.53,7.73,4.45,1.211586,1.202138,1.612313,0.861120,1.095557,1.441355,1.379405,7.47682757210446e-4,9.532599105702609e-5
