# commit: cff5bb5 (dirty)
# N: 1000000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T02:03:01Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
13,8.931111111111111e-4,7.0927,9.025555555555555e-4,7.0810,7.448888888888889e-4,7.7877,7.599444444444444e-4,7.6303,7.779444444444444e-4,7.6112,7.869444444444444e-4,7.4655,4.646626989150303e-2,5.34280896455126e-4,1.4308827396870715e-6,9.93867569009543e-8,7.513888888888889e-4,7.6702,4.53,6.51,7.83,4.56,0.179161,0.369622,0.382902,0.276101,0.216431,0.324272,0.344530,2.8244229928453685e-3,4.370083549817812e-4
14,7.023333333333333e-4,6.1340,7.005555555555555e-4,6.4179,5.685555555555555e-4,7.2454,5.800000000000000e-4,7.0011,5.941111111111111e-4,7.0578,6.117222222222222e-4,6.8063,3.653373443812288e-2,2.777506371214272e-4,1.1251693232854247e-6,5.152728294025679e-8,5.808333333333333e-4,7.0279,4.53,6.51,7.83,4.56,0.436451,0.252302,0.286157,0.274682,0.378661,0.352647,0.442373,2.648542537413023e-3,2.368854382829204e-4
15,5.758333333333333e-4,5.5542,5.702222222222222e-4,5.8583,4.435555555555555e-4,6.6382,4.605000000000000e-4,6.3751,4.695000000000000e-4,6.5193,4.835555555555555e-4,6.3295,2.7511664040373543e-2,9.590066944250723e-5,8.47231767289666e-7,1.840981930443243e-8,4.544444444444444e-4,6.4032,4.53,6.51,7.83,4.56,0.262190,0.471350,0.713466,0.508969,0.387407,0.335352,0.515699,2.4876158159137275e-3,9.598375333831966e-5
16,4.847222222222222e-4,4.8012,4.737777777777778e-4,5.0367,3.650000000000000e-4,5.7647,3.789444444444444e-4,5.7167,3.844444444444445e-4,5.7202,4.008888888888889e-4,5.4800,1.9956077632259307e-2,6.839796770987216e-5,6.141807334358337e-7,1.2482975138914282e-8,3.787777777777778e-4,5.5881,4.53,6.51,7.83,4.56,0.672517,0.684201,0.787479,0.536565,0.528236,0.552393,0.626005,2.5949130765137445e-3,8.834417440937216e-5
17,4.263888888888889e-4,4.1878,4.160555555555555e-4,3.8824,3.092222222222222e-4,5.4117,3.220000000000000e-4,5.0945,3.282222222222222e-4,5.2320,3.431666666666667e-4,5.0236,1.3886131211453505e-2,0e0,4.278007467463271e-7,0e0,3.203333333333333e-4,5.2457,4.53,6.51,7.83,4.56,0.778505,0.370228,0.431004,0.722000,0.451352,0.397705,0.652602,2.528114775871914e-3,0e0
18,3.787777777777778e-4,3.8782,3.769444444444445e-4,3.8012,2.653888888888889e-4,4.8337,2.807222222222222e-4,4.5190,2.825000000000000e-4,4.7915,2.982222222222222e-4,4.7994,8.880968720342589e-3,0e0,2.7346397317393e-7,0e0,2.781111111111111e-4,5.2083,4.53,6.51,7.83,4.56,0.426707,0.475404,1.080061,1.161536,0.688338,0.494360,1.162855,2.700021664734587e-3,0e0
19,3.436666666666667e-4,3.7629,3.367777777777778e-4,3.7695,2.363333333333333e-4,4.6658,2.504444444444445e-4,4.3413,2.514444444444444e-4,4.4611,2.627777777777777e-4,4.3929,5.699019191597238e-3,2.3234200743494423e-5,1.7510409974034554e-7,4.3186246735119744e-9,2.397777777777778e-4,4.8025,4.53,6.51,7.83,4.56,0.758929,0.723881,0.940793,0.602716,0.622087,0.848357,1.012193,1.462261189383633e-3,6.147191707863824e-5
20,3.106666666666667e-4,3.2291,3.090555555555556e-4,3.1536,2.075555555555556e-4,4.2152,2.233333333333333e-4,4.4946,2.233333333333334e-4,5.1144,2.366111111111111e-4,4.1136,3.5426075547521753e-3,0e0,1.0923883116476413e-7,0e0,2.159444444444444e-4,4.3196,4.53,6.51,7.83,4.56,0.735952,0.645074,0.965339,0.845969,0.748521,0.759917,0.717723,1.0855873284338388e-3,0e0
21,2.923888888888889e-4,3.1654,2.876111111111112e-4,3.0040,1.913888888888889e-4,3.9973,2.000000000000000e-4,4.4166,1.946666666666667e-4,4.8002,2.138888888888889e-4,4.0946,1.7943125560637317e-3,0e0,5.531272231563547e-8,0e0,1.931666666666667e-4,4.7068,4.53,6.51,7.83,4.56,0.881343,0.492649,0.870391,1.405959,0.769123,1.424826,0.894646,6.643986892647529e-4,0e0
22,2.671666666666667e-4,3.0559,2.678333333333333e-4,2.7851,1.715555555555556e-4,3.8392,1.809444444444445e-4,3.9790,1.776666666666667e-4,3.8657,1.946666666666667e-4,3.8603,7.733017595025394e-4,0e0,2.378566437415574e-8,0e0,1.725555555555556e-4,4.0501,4.53,6.51,7.83,4.56,0.834090,0.582303,1.666828,1.607566,0.835005,0.605980,1.025120,5.447454642565876e-4,0e0
