# commit: cff5bb5 (dirty)
# N: 500000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T01:53:19Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
1,5.000944444444445e-1,1.9443,5.002268888888889e-1,1.9431,4.998077222222222e-1,1.9563,4.998071111111111e-1,1.9559,4.997996111111112e-1,1.9551,4.997983888888888e-1,1.9530,5.010280722144275e-2,4.467924679484134e-2,2.6886703449730733e-6,1.699521708193249e-5,4.998016111111112e-1,1.9561,4.45,6.48,7.87,4.55,0.003288,0.002152,0.000409,0.000376,0.000391,0.000554,0.000237,5.084817934683152e-3,2.788282812098132e-3
2,2.549232222222222e-1,2.4203,2.550958333333333e-1,2.4176,2.537191666666666e-1,2.4354,2.537561111111111e-1,2.4346,2.538166111111111e-1,2.4336,2.540052222222222e-1,2.4295,9.068013319379153e-2,6.872155602228976e-3,4.8702464592012724e-6,2.5951905310544064e-6,2.537356666666666e-1,2.4349,4.45,6.48,7.87,4.55,0.001245,0.002925,0.000667,0.000811,0.000742,0.000410,0.000555,4.570485168715704e-3,2.000525041125667e-3
3,1.323343888888889e-1,3.7295,1.325663333333333e-1,3.7251,1.311651666666667e-1,3.7585,1.312174444444444e-1,3.7558,1.312888333333333e-1,3.7542,1.315856111111111e-1,3.7432,1.3860602237672087e-1,5.871415308387031e-3,7.441320894881033e-6,2.229628185877039e-6,1.311993888888889e-1,3.7554,4.45,6.48,7.87,4.55,0.005769,0.005643,0.001329,0.000824,0.002236,0.001972,0.001834,9.340039402723661e-3,1.0493341595452482e-3
4,6.999472222222222e-2,4.9035,7.014794444444444e-2,4.9059,6.896705555555556e-2,4.9723,6.904183333333334e-2,4.9693,6.909649999999999e-2,4.9605,6.941116666666666e-2,4.9423,1.8529058650707167e-1,4.1850468640946045e-3,9.949022347001845e-6,1.5789101826733602e-6,6.904544444444445e-2,4.9644,4.45,6.48,7.87,4.55,0.017509,0.012092,0.004136,0.005153,0.005310,0.003928,0.005021,1.1299360730525983e-2,1.3342371077307118e-3
5,3.782294444444444e-2,5.9593,3.786566666666667e-2,5.9718,3.683572222222222e-2,6.0930,3.687822222222222e-2,6.0850,3.698138888888888e-2,6.0684,3.723805555555556e-2,6.0403,2.0242417822877798e-1,2.5951712894582983e-3,1.08699635724078e-5,9.817457487026939e-7,3.691966666666666e-2,6.0835,4.45,6.48,7.87,4.55,0.023575,0.009258,0.010001,0.012026,0.011115,0.010544,0.007684,1.316339165794125e-2,1.0352165260460607e-3
6,2.091111111111111e-2,6.8997,2.090394444444445e-2,6.8902,2.005283333333334e-2,7.1151,2.010750000000000e-2,7.0917,2.019111111111111e-2,7.0822,2.039872222222222e-2,7.0341,1.8955229704169932e-1,2.333517610142933e-3,1.0179254969232927e-5,8.912367379092796e-7,2.011433333333333e-2,7.1099,4.45,6.48,7.87,4.55,0.026726,0.019952,0.020733,0.018403,0.027260,0.020508,0.017993,5.773685717897644e-3,7.794765037085318e-4
7,1.184772222222222e-2,7.6763,1.188000000000000e-2,7.6721,1.112783333333333e-2,7.9217,1.118472222222222e-2,7.9141,1.123388888888889e-2,7.8740,1.140383333333334e-2,7.8377,1.5411649271099156e-1,1.3269447684004483e-3,8.275893912459469e-6,5.041638222637282e-7,1.116294444444444e-2,7.9176,4.45,6.48,7.87,4.55,0.033505,0.051941,0.032548,0.035765,0.020552,0.022555,0.026218,1.113709890875391e-2,6.705245340236252e-4
8,6.931777777777777e-3,8.1756,6.933611111111111e-3,8.2468,6.416722222222222e-3,8.5001,6.441222222222221e-3,8.4901,6.505444444444444e-3,8.4320,6.606777777777777e-3,8.3870,1.2068131421397096e-1,1.0474212276372632e-3,6.479807573280385e-6,3.9981335633226675e-7,6.440166666666667e-3,8.4750,4.45,6.48,7.87,4.55,0.077620,0.075073,0.047604,0.055921,0.073511,0.057611,0.048769,9.388667702190512e-3,6.256758021933532e-4
9,4.241055555555555e-3,8.4698,4.214722222222222e-3,8.4947,3.824222222222222e-3,8.9171,3.848611111111111e-3,8.8589,3.893833333333333e-3,8.8216,3.975166666666667e-3,8.7357,1.0122509116846516e-1,6.188196874644993e-4,5.43473820963997e-6,2.361976039597771e-7,3.848388888888889e-3,8.8367,4.45,6.48,7.87,4.55,0.118043,0.096010,0.109058,0.090334,0.050933,0.048146,0.071400,8.659563545224134e-3,3.8682020302668706e-4
10,2.694277777777778e-3,8.4008,2.687500000000000e-3,8.4522,2.372666666666667e-3,9.0826,2.397222222222222e-3,9.0285,2.431222222222223e-3,8.9710,2.492888888888889e-3,8.9481,7.863924426963585e-2,5.127161673341866e-4,4.2230679588393795e-6,1.9175001414048217e-7,2.402777777777778e-3,9.0490,4.45,6.48,7.87,4.55,0.127871,0.192407,0.150201,0.159131,0.105815,0.145764,0.147987,5.7749950617774935e-3,4.5762697260651864e-4
11,1.825611111111111e-3,7.9177,1.804944444444444e-3,8.1011,1.537333333333333e-3,8.8958,1.555555555555555e-3,8.9431,1.582944444444444e-3,8.8718,1.619722222222222e-3,8.9061,5.9701472769073435e-2,1.9278963380241405e-4,3.206041515402407e-6,7.439927037337845e-8,1.552277777777778e-3,8.9547,4.45,6.48,7.87,4.55,0.197986,0.202116,0.161287,0.147751,0.151761,0.188267,0.190694,4.071786768082106e-3,1.929544699448799e-4
12,1.309111111111111e-3,7.4230,1.284166666666667e-3,7.4483,1.054500000000000e-3,8.5309,1.060833333333333e-3,8.3190,1.082888888888889e-3,8.3048,1.106888888888889e-3,8.1698,4.513714553243234e-2,4.4138418079096045e-5,2.4238071960527857e-6,1.558559960420058e-8,1.062166666666667e-3,8.6494,4.45,6.48,7.87,4.55,0.147553,0.249962,0.270238,0.164804,0.156359,0.209258,0.233924,3.3292550870264006e-3,1.1677927750108537e-4
13,9.820555555555555e-4,6.7924,9.688888888888889e-4,6.7074,7.538888888888889e-4,7.9148,7.764444444444444e-4,7.4576,7.910555555555556e-4,7.3686,8.186111111111111e-4,7.1079,3.111286320952364e-2,4.3844265170115746e-5,1.670925779177085e-6,1.5378556706459398e-8,7.537222222222223e-4,7.7029,4.45,6.48,7.87,4.55,0.299958,0.378089,0.361935,0.253939,0.164327,0.237275,0.332771,4.250591097813593e-3,1.1600102205649728e-4
14,7.755555555555556e-4,5.7987,7.657777777777778e-4,6.1271,5.729444444444445e-4,7.0078,5.970555555555555e-4,6.7136,6.136666666666667e-4,6.7449,6.399999999999999e-4,6.7082,2.0205087516918102e-2,0e0,1.0846360710570661e-6,0e0,5.866111111111111e-4,6.6223,4.45,6.48,7.87,4.55,0.299822,0.367950,0.388977,0.451953,0.321996,0.439074,0.442953,3.801442033637985e-3,0e0
15,6.485555555555555e-4,5.1654,6.250000000000000e-4,5.1598,4.566111111111111e-4,6.2182,4.802777777777778e-4,6.1624,4.882222222222222e-4,6.1586,5.065555555555556e-4,6.4102,1.0848675021840693e-2,0e0,5.822445254867355e-7,0e0,4.692777777777778e-4,6.1099,4.45,6.48,7.87,4.55,0.315452,0.290570,0.624726,0.441467,0.422843,0.530943,0.546514,2.462115343449583e-3,0e0
16,5.493333333333334e-4,4.8276,5.426111111111111e-4,4.2198,3.782777777777777e-4,5.4276,3.956666666666666e-4,5.4570,4.067777777777778e-4,5.2425,4.171666666666667e-4,5.5266,6.6574732203005275e-3,4.936808846761453e-5,3.5709554308626053e-7,1.949766527156972e-8,3.901111111111111e-4,5.4684,4.45,6.48,7.87,4.55,0.546248,0.293324,0.611275,0.426360,0.525188,0.653037,0.608163,4.026495876436863e-3,1.3061568478794385e-4
17,4.794444444444444e-4,4.0822,4.799444444444444e-4,3.9673,3.251111111111111e-4,5.1522,3.413333333333334e-4,4.9375,3.516666666666666e-4,4.9764,3.584444444444444e-4,4.9325,3.7754865131749992e-3,0e0,2.0275662394595308e-7,0e0,3.332777777777778e-4,5.5172,4.45,6.48,7.87,4.55,0.470000,0.481135,0.329394,0.662269,0.404765,0.763825,0.681268,1.8147300198563126e-3,0e0
18,4.319444444444445e-4,3.5091,4.295555555555555e-4,3.7213,2.792777777777778e-4,4.9612,2.958333333333333e-4,5.3415,3.034444444444445e-4,4.9939,3.120000000000000e-4,4.8818,1.2863739705767899e-3,0e0,6.918752794758329e-8,0e0,2.818888888888889e-4,5.1979,4.45,6.48,7.87,4.55,0.509135,0.517823,0.748277,0.575350,0.612410,0.790915,1.016836,9.571467029092151e-4,0e0
19,3.944444444444444e-4,3.0527,3.902222222222223e-4,3.3210,2.467222222222222e-4,4.1539,2.536111111111111e-4,5.1907,2.663888888888889e-4,4.1820,2.732222222222222e-4,4.6104,4.3981445201937263e-4,0e0,2.362169447908079e-8,0e0,2.496111111111111e-4,4.2227,4.45,6.48,7.87,4.55,0.574761,0.656765,0.862742,0.956920,0.946400,1.138654,0.592177,5.037865638279443e-4,0e0
20,3.677777777777778e-4,2.7829,3.606111111111111e-4,3.3261,2.243888888888889e-4,4.3012,2.250555555555556e-4,4.1335,2.434444444444445e-4,3.9754,2.447222222222222e-4,3.7673,1.97421643613784e-4,0e0,1.059820441627731e-8,0e0,2.256666666666667e-4,4.3671,4.45,6.48,7.87,4.55,0.761474,0.620849,1.079228,1.125818,1.012643,1.030857,1.010175,2.7990347249049326e-4,0e0
21,3.431666666666666e-4,2.8038,3.303888888888889e-4,2.9527,1.989444444444445e-4,4.7228,2.062222222222222e-4,3.5102,2.183333333333333e-4,4.4302,2.262777777777778e-4,3.3893,4.96031746031746e-5,0e0,2.6641159355053762e-9,0e0,2.006111111111112e-4,4.4296,4.45,6.48,7.87,4.55,1.028747,0.979284,1.412441,1.092170,1.447465,0.403409,0.528063,1.3123766423931503e-4,0e0
22,3.217777777777778e-4,2.5361,3.132777777777778e-4,2.2888,1.791666666666667e-4,4.4486,1.903888888888889e-4,3.6162,1.971111111111111e-4,4.2717,2.082222222222222e-4,3.5035,0e0,0e0,0e0,0e0,1.827222222222222e-4,3.7192,4.45,6.48,7.87,4.55,0.696542,0.602872,0.730991,0.973678,1.168950,1.518677,1.246573,0e0,0e0
23,3.057777777777778e-4,2.2321,2.977222222222222e-4,1.8762,1.625000000000000e-4,4.3151,1.749444444444445e-4,4.4647,1.797777777777778e-4,3.4237,1.929444444444444e-4,3.4687,0e0,0e0,0e0,0e0,1.693888888888889e-4,3.2608,4.45,6.48,7.87,4.55,0.693238,1.062782,1.538504,1.686453,1.227273,0.882797,0.697318,0e0,0e0
24,2.920000000000000e-4,2.1601,2.887222222222222e-4,1.4245,1.485000000000000e-4,3.7947,1.567777777777778e-4,4.4388,1.698333333333334e-4,3.8860,1.790555555555556e-4,3.5758,0e0,0e0,0e0,0e0,1.585555555555556e-4,3.9598,4.45,6.48,7.87,4.55,0.632725,0.852698,0.360185,1.538081,1.713807,1.509864,0.821646,0e0,0e0
25,2.794444444444445e-4,2.1378,2.805555555555556e-4,1.5931,1.387222222222222e-4,2.7753,1.453888888888889e-4,3.3390,1.528888888888889e-4,4.3067,1.662222222222222e-4,3.3642,0e0,0e0,0e0,0e0,1.436111111111111e-4,4.0907,4.45,6.48,7.87,4.55,0.670325,0.535318,2.823245,1.135087,1.230327,1.336650,1.789112,0e0,0e0
26,2.680555555555556e-4,1.7027,2.708888888888889e-4,2.5330,1.328888888888889e-4,2.2035,1.371666666666666e-4,3.5482,1.429444444444445e-4,3.7086,1.565000000000000e-4,3.6994,0e0,0e0,0e0,0e0,1.346111111111111e-4,3.3998,4.45,6.48,7.87,4.55,0.405643,0.647278,1.262101,1.282876,1.585328,2.385728,1.366552,0e0,0e0
