step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu
52,6.143141153081511e-2,-0.0000,6.958250497017893e-4,-10.5369,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
54,6.143141153081511e-2,-0.0000,8.946322067594434e-4,4.1602,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
56,6.143141153081511e-2,-0.0000,5.964214711729623e-4,3.2965,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
58,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-4.4686,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-1802.2093,0.000000000000000e0,-0.0000,0e0,0e0
60,6.143141153081511e-2,-0.0000,6.958250497017893e-4,-0.0000,0.000000000000000e0,-1863.8091,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
62,6.143141153081511e-2,-0.0000,7.952286282306163e-4,4.7770,9.803921568627451e-4,-0.0000,0.000000000000000e0,-1926.5950,0.000000000000000e0,1926.5950,0.000000000000000e0,-0.0000,0e0,0e0
64,6.143141153081511e-2,-0.0000,5.964214711729623e-4,4.2716,0.000000000000000e0,1988.1523,1.000000000000000e-3,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-1988.7857,0e0,0e0
66,6.143141153081511e-2,-0.0000,6.958250497017893e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,2050.9752,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0e0,0e0
68,6.143141153081511e-2,-0.0000,5.964214711729623e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,2113.1635,0e0,0e0
70,6.143141153081511e-2,-0.0000,6.958250497017893e-4,-10.0661,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
72,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-4.8059,0.000000000000000e0,-2236.8242,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-2237.5369,0e0,0e0
74,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-0.0000,9.803921568627451e-4,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,1.000000000000000e-3,-0.0000,0e0,0e0
76,6.143141153081511e-2,-0.0000,7.952286282306163e-4,-4.4747,0.000000000000000e0,2361.1545,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,2361.9069,0e0,0e0
78,6.143141153081511e-2,-0.0000,8.946322067594434e-4,5.2066,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0.000000000000000e0,-0.0000,0e0,0e0
